date,open,high,low,close,volume
2021-08-13,445.59,445.93,445.07,445.92,25183718
2021-08-16,444.54,447.11,442.87,446.97,44730284
2021-08-17,444.24,444.96,440.85,444.04,69304089
2021-08-18,442.96,444.63,438.92,439.18,59361388
2021-08-19,436.27,441.14,436.12,439.86,74711742
2021-08-20,440.23,443.71,439.71,443.36,46674447
2021-08-23,445.16,448.23,445.14,447.26,37955296
2021-08-24,447.97,448.54,447.42,447.97,25704116
2021-08-25,448.17,449.46,447.77,448.91,28282215
2021-08-26,448.61,448.86,446.16,446.26,46761892
2021-08-27,447.12,450.65,447.06,450.25,46019663
2021-08-30,450.99,453.07,450.71,452.23,32316691
2021-08-31,452.13,452.49,450.92,451.56,38062255
2021-09-01,452.58,453.11,451.54,451.8,35851903
2021-09-02,453.32,454.05,451.91,453.19,31382025
2021-09-03,451.98,453.63,451.55,453.08,31190930
2021-09-07,452.71,452.81,450.74,451.46,35654750
2021-09-08,450.89,451.67,448.86,450.91,41620897
2021-09-09,450.7,452.57,448.72,448.98,43518755
2021-09-10,451.04,451.49,445.31,445.44,60848574
2021-09-13,448.65,448.92,444.11,446.58,58661421
2021-09-14,448.12,448.34,443.22,444.17,54640106
2021-09-15,444.62,448.41,443.44,447.88,54633479
2021-09-16,447.32,448.36,444.02,447.17,50865867
2021-09-17,444.92,445.37,441.02,441.4,72060821
2021-09-20,434.88,436.56,428.86,434.04,121956027
2021-09-21,436.53,437.91,433.07,433.63,68392678
2021-09-22,436.05,440.03,435.07,437.86,74372660
2021-09-23,439.84,444.89,439.6,443.18,56597442
2021-09-24,441.44,444.67,441.21,443.91,42095650
2021-09-27,442.81,444.05,441.9,442.64,42039635
2021-09-28,439.69,440.04,432.94,433.72,96190286
2021-09-29,435.19,437.04,433.85,434.45,62205995
2021-09-30,436.02,436.77,428.78,429.14,95385455
2021-10-01,430.98,436.04,427.23,434.24,89252803
2021-10-04,433,433.96,426.36,428.64,93164264
2021-10-05,430.24,435.49,429.39,433.1,66533717
2021-10-06,429.27,435.12,427.54,434.9,85087792
2021-10-07,438.39,441.68,438.2,438.66,53752620
2021-10-08,439.48,439.89,437.19,437.86,49536254
2021-10-11,437.16,440.26,434.62,434.69,45607034
2021-10-12,435.67,436.1,432.78,433.62,50189611
2021-10-13,434.71,436.05,431.54,435.18,51504299
2021-10-14,439.08,442.66,438.58,442.5,48509619
2021-10-15,444.76,446.26,444.09,445.87,42364398
2021-10-18,443.97,447.55,443.27,447.19,38411426
2021-10-19,448.92,450.7,448.27,450.64,35357494
2021-10-20,451.13,452.74,451.01,452.41,33853976
2021-10-21,451.76,453.83,451.31,453.59,28831267
2021-10-22,453.13,454.67,451.05,453.12,43018221
2021-10-25,454.28,455.9,452.39,455.55,30727454
2021-10-26,457.2,458.49,455.56,455.96,41357087
2021-10-27,456.45,457.16,453.86,453.94,39788490
2021-10-28,455.46,458.4,455.45,458.32,32730351
2021-10-29,455.87,459.56,455.56,459.25,41868994
2021-11-01,460.3,460.71,458.2,460.04,31993675
2021-11-02,460.21,462.23,460.08,461.9,31098995
2021-11-03,461.3,465.15,460.83,464.72,36111379
2021-11-04,465.36,467,464.99,466.91,34005044
2021-11-05,469.28,470.65,466.92,468.53,44787011
2021-11-08,469.7,470.23,468.2,468.93,27752483
2021-11-09,469.32,469.57,465.88,467.38,36792267
2021-11-10,465.58,467.38,462.04,463.62,50215523
2021-11-11,465.21,465.29,463.75,463.77,25072089
2021-11-12,465.12,467.86,464.11,467.27,34239790
2021-11-15,468.64,468.81,466.23,467.43,31243544
2021-11-16,467.16,470.49,467.07,469.28,30695704
2021-11-17,469,469.19,467.48,468.14,29497888
2021-11-18,469.24,470.01,466.34,469.73,35042674
2021-11-19,469.61,470.94,468.5,468.89,32115493
2021-11-22,470.81,473.54,467.35,467.57,52568302
2021-11-23,467.22,469.1,464.45,468.19,52780614
2021-11-24,466.06,469.57,465.19,469.44,42477879
2021-11-26,462.38,463.9,457.77,458.97,70623727
2021-11-29,464.07,466.56,461.73,464.6,54323193
2021-11-30,462,464.03,455.3,455.56,97083445
2021-12-01,461.64,464.67,450.29,450.5,92030995
2021-12-02,450.72,459.07,450.31,457.4,87135154
2021-12-03,459.17,460.3,448.92,453.42,98907408
2021-12-06,456.14,460.79,453.56,458.79,66467576
2021-12-07,464.41,468.88,464.34,468.28,64039728
2021-12-08,468.7,470,466.83,469.52,41652384
2021-12-09,468.15,469.11,466.14,466.35,41438415
2021-12-10,469.23,470.9,466.51,470.74,48685091
2021-12-13,470.19,470.56,466.27,466.57,56051292
2021-12-14,463.05,465.74,460.25,463.36,59037693
2021-12-15,463.42,470.86,460.74,470.6,71882966
2021-12-16,472.57,472.87,464.8,466.45,72008951
2021-12-17,461.52,464.74,458.06,459.87,79421094
2021-12-20,454.48,455.4,451.14,454.98,69736482
2021-12-21,458.57,463.21,456.31,463.06,48991656
2021-12-22,462.79,467.81,462.58,467.69,38452144
2021-12-23,468.75,472.19,468.64,470.6,34440500
2021-12-27,472.03,477.31,472.01,477.26,36463332
2021-12-28,477.72,478.81,476.06,476.87,28908009
2021-12-29,477,478.56,475.92,477.48,31228179
2021-12-30,477.93,479,475.67,476.16,31204071
2021-12-31,475.64,476.86,474.67,474.96,37908097
2022-01-03,476.32,477.85,473.85,477.71,44115602
2022-01-04,479.22,479.98,475.58,477.55,44970789
2022-01-05,477.16,477.98,468.28,468.38,66158039
2022-01-06,467.89,470.82,465.43,467.94,60999921
2022-01-07,467.95,469.2,464.65,466.09,53262760
2022-01-10,462.7,465.74,456.59,465.51,82225190
2022-01-11,465.22,469.85,462.05,469.75,55016822
2022-01-12,471.59,473.2,468.94,471.02,47133157
2022-01-13,472.21,472.88,463.44,464.53,61645158
2022-01-14,461.19,465.09,459.9,464.72,69253600
2022-01-18,459.73,459.96,455.31,456.49,74928513
2022-01-19,458.17,459.62,451.46,451.75,72551986
2022-01-20,453.75,458.74,444.5,446.75,90120534
2022-01-21,445.56,448.06,438.01,437.98,125025639
2022-01-24,432.03,440.38,420.76,439.84,166376267
2022-01-25,433.06,439.72,427.15,434.47,109859491
2022-01-26,440.72,444.04,428.86,433.38,134858352
