date,open,high,low,close,volume
2021-08-13,43.27,43.315,43.145,43.225,7215410
2021-08-16,42.96,43.065,42.555,43.01,11327478
2021-08-17,42.775,42.825,42.02,42.515,13494516
2021-08-18,42.365,42.62,41.995,42.02,13327424
2021-08-19,41.545,41.83,41.42,41.645,14226858
2021-08-20,41.66,41.98,41.595,41.89,12666692
2021-08-23,42.115,42.365,42.02,42.25,7398288
2021-08-24,42.5,42.645,42.385,42.515,9698252
2021-08-25,42.395,42.85,42.235,42.71,8700326
2021-08-26,42.68,42.75,42.395,42.415,10488928
2021-08-27,42.63,43.1,42.585,42.975,9274164
2021-08-30,43.155,43.23,42.93,42.93,8021738
2021-08-31,42.895,42.905,42.595,42.805,9359912
2021-09-01,42.745,42.865,42.325,42.695,12753758
2021-09-02,42.83,43.055,42.805,42.97,9177984
2021-09-03,42.895,43.05,42.675,42.685,11312444
2021-09-07,42.535,42.565,42.34,42.405,12259680
2021-09-08,42.28,42.32,41.855,42,11277684
2021-09-09,41.89,42.3,41.88,42.015,8818212
2021-09-10,42.255,42.525,41.975,42.005,15384900
2021-09-13,42.41,42.5,41.73,41.995,13122064
2021-09-14,42.14,42.17,41.445,41.535,10742940
2021-09-15,41.64,42.025,41.56,41.975,11223242
2021-09-16,41.815,41.855,41.22,41.52,9942012
2021-09-17,41.27,41.365,40.535,40.665,16371016
2021-09-20,39.535,39.895,39.18,39.71,16973428
2021-09-21,39.955,40.025,39.445,39.615,13116200
2021-09-22,39.995,40.425,39.995,40.025,13067240
2021-09-23,40.325,40.87,40.285,40.595,8083312
2021-09-24,40.41,40.75,40.315,40.535,5971064
2021-09-27,40.645,41.08,40.635,40.85,8818132
2021-09-28,40.765,40.81,40.22,40.345,13709000
2021-09-29,40.34,40.43,40.1,40.18,12193384
2021-09-30,40.3,40.465,39.545,39.555,17851144
2021-10-01,39.735,40.4,39.445,40.185,16191840
2021-10-04,40.235,40.485,39.725,40.01,14509104
2021-10-05,40.095,40.59,39.85,40.365,11926924
2021-10-06,39.955,40.29,39.525,40.29,12791136
2021-10-07,40.635,41.26,40.635,40.815,12494328
2021-10-08,40.915,41.015,40.515,40.59,8795156
2021-10-11,40.79,41.19,40.59,40.595,8338806
2021-10-12,40.62,40.84,40.5,40.65,13228400
2021-10-13,40.915,41.14,40.465,40.955,12616032
2021-10-14,41.36,42.01,41.24,41.95,9846746
2021-10-15,42.17,42.29,41.97,42.075,9324196
2021-10-18,41.715,42.125,41.64,42.045,11104358
2021-10-19,42.235,42.265,41.915,42.265,8514578
2021-10-20,42.3,42.655,42.2,42.605,8079202
2021-10-21,42.43,42.51,42.055,42.495,11314424
2021-10-22,42.58,42.87,42.42,42.415,9704674
2021-10-25,42.71,43.02,42.425,42.84,9048098
2021-10-26,42.915,43.135,42.56,42.96,9511544
2021-10-27,42.795,42.87,42.315,42.345,9452372
2021-10-28,42.395,42.845,42.385,42.765,6719708
2021-10-29,42.605,42.915,42.405,42.56,7389166
2021-11-01,42.615,42.915,42.51,42.66,9383206
2021-11-02,42.77,43.23,42.69,43.145,11723380
2021-11-03,43.22,43.78,43.105,43.595,17208604
2021-11-04,43.585,43.755,43.385,43.57,8605604
2021-11-05,43.68,44.03,43.635,43.91,10077620
2021-11-08,44.39,44.615,44.305,44.46,8782436
2021-11-09,44.49,44.665,44.295,44.665,12204960
2021-11-10,44.62,44.825,44.27,44.36,10976430
2021-11-11,44.56,44.9,44.465,44.715,7065398
2021-11-12,44.82,45.075,44.73,45.05,7691372
2021-11-15,45.06,45.085,44.685,44.845,7551620
2021-11-16,44.87,44.995,44.69,44.72,7427762
2021-11-17,44.66,44.765,44.385,44.425,9234766
2021-11-18,44.46,44.545,44.145,44.235,9169694
2021-11-19,44.08,44.42,44.01,44.155,8605586
2021-11-22,44.175,44.7,44.155,44.225,11531346
2021-11-23,44.24,44.585,44.045,44.27,13213834
2021-11-24,44.01,44.135,43.855,43.955,9084752
2021-11-26,42.955,43.405,42.735,43.2,11971426
2021-11-29,43.53,43.63,43.115,43.4,10071982
2021-11-30,43.17,43.29,42.245,42.325,19567754
2021-12-01,42.99,43.365,41.875,41.895,18371344
2021-12-02,42.035,42.925,41.955,42.75,14000872
2021-12-03,42.82,43.28,42.275,42.655,15854376
2021-12-06,43.085,43.62,42.93,43.28,12725544
2021-12-07,43.78,44.215,43.775,43.94,8798440
2021-12-08,44.09,44.225,43.87,44.125,7515798
2021-12-09,43.795,44.09,43.7,43.88,5569964
2021-12-10,44.285,44.32,43.86,44.15,6879902
2021-12-13,44.125,44.225,43.74,43.885,7731240
2021-12-14,43.845,44.21,43.715,43.84,7762998
2021-12-15,43.66,43.99,43.18,43.935,12097970
2021-12-16,44.235,44.67,44.2,44.385,10812108
2021-12-17,44.275,44.355,43.8,43.83,12216230
2021-12-20,42.99,43.015,42.285,42.83,11875776
2021-12-21,43.135,43.54,43.105,43.37,7812726
2021-12-22,43.32,43.75,43.265,43.715,4975818
