date,open,high,low,close,volume
2021-08-13,25.02,25.02,24.65,24.71,26828196
2021-08-16,24.375,24.385,24.04,24.255,43692004
2021-08-17,24.02,24.395,23.79,24.005,45792106
2021-08-18,24,24.19,23.475,23.505,51703252
2021-08-19,23.1,23.25,22.57,22.895,86797880
2021-08-20,22.685,23.09,22.585,22.945,54151536
2021-08-23,23.505,23.87,23.45,23.805,50059506
2021-08-24,24.005,24.325,23.965,24.2,40338248
2021-08-25,24.175,24.52,23.99,24.385,35832308
2021-08-26,24.245,24.38,23.975,24.015,35435528
2021-08-27,24.29,24.82,24.26,24.655,41216980
2021-08-30,24.75,24.845,24.355,24.365,29361480
2021-08-31,24.245,24.465,24.14,24.2,40672008
2021-09-01,24.175,24.315,23.755,23.845,56048742
2021-09-02,24.065,24.645,24.065,24.45,56789356
2021-09-03,24.395,24.58,24.195,24.31,35001958
2021-09-07,24.195,24.5,24.075,24.165,35036024
2021-09-08,24.315,24.46,23.84,23.855,40891946
2021-09-09,23.725,24.28,23.565,23.905,43566334
2021-09-10,24.275,24.325,23.825,23.895,32930646
2021-09-13,24.225,24.75,24.205,24.58,62892980
2021-09-14,24.8,24.845,24.115,24.225,51022594
2021-09-15,24.565,25.15,24.53,25.13,68985486
2021-09-16,25.105,25.11,24.705,24.845,54362770
2021-09-17,24.735,25.11,24.595,24.66,54710690
2021-09-20,23.78,23.905,23.235,23.62,71283846
2021-09-21,23.925,24.025,23.425,23.675,44511262
2021-09-22,24.08,24.69,24.075,24.405,70750474
2021-09-23,24.54,25.335,24.425,25.26,44988578
2021-09-24,25.125,25.58,25.075,25.45,47896006
2021-09-27,26.015,26.46,25.975,26.355,73753146
2021-09-28,26.605,26.915,26.385,26.445,104678762
2021-09-29,26.42,26.61,26.095,26.445,62238656
2021-09-30,26.46,26.515,26.045,26.045,80048024
2021-10-01,26.25,26.945,26.235,26.92,73911868
2021-10-04,27.215,27.66,27.08,27.36,93387694
2021-10-05,27.75,28.025,27.23,27.52,83546112
2021-10-06,27.065,27.38,26.75,27.23,88615966
2021-10-07,27.3,27.59,27.165,27.44,58899782
2021-10-08,27.745,28.35,27.665,28.285,77051416
2021-10-11,28.73,28.795,28.15,28.18,70750294
2021-10-12,28.14,28.48,28.01,28.205,59355628
2021-10-13,28,28.325,27.685,28.18,52537098
2021-10-14,28.5,28.645,28.24,28.525,42085028
2021-10-15,28.845,28.955,28.65,28.665,37169942
2021-10-18,28.94,29.105,28.525,28.685,58815670
2021-10-19,28.805,29.11,28.645,29.01,39632334
2021-10-20,28.79,29.25,28.675,29.245,44208550
2021-10-21,29.02,29.125,28.47,28.705,55191992
2021-10-22,28.805,29,28.535,28.975,39207400
2021-10-25,29.315,29.56,29.175,29.4,45322372
2021-10-26,29.5,29.705,29.385,29.57,40467568
2021-10-27,29.225,29.41,28.655,28.72,58315416
2021-10-28,28.56,28.95,28.56,28.925,38425280
2021-10-29,29.07,29.135,28.615,28.735,39420232
2021-11-01,29.02,29.31,28.94,29.23,43290280
2021-11-02,29.06,29.285,28.86,28.955,29947856
2021-11-03,28.605,29.015,28.485,28.715,41794376
2021-11-04,29.14,29.215,28.495,28.755,59016378
2021-11-05,29.15,29.26,28.885,29.13,38648208
2021-11-08,29.375,29.7,29.23,29.395,35223792
2021-11-09,29.43,29.525,29.01,29.515,35204184
2021-11-10,29.39,29.485,28.56,28.735,67064980
2021-11-11,28.755,29.04,28.755,28.845,37431752
2021-11-12,28.69,28.89,28.6,28.775,28939882
2021-11-15,28.795,29.185,28.505,29.015,36354824
2021-11-16,29.1,29.295,28.92,29.06,30614718
2021-11-17,28.78,29.19,28.515,28.615,42264792
2021-11-18,28.54,28.775,28.1,28.445,47997180
