date,open,high,low,close,volume
2021-08-13,105.35,105.5,104.86,105,7994462
2021-08-16,104.69,105.37,104,105.36,9177827
2021-08-17,104.73,104.78,103.23,104.22,13460680
2021-08-18,103.82,104.4,103.04,103.08,10683464
2021-08-19,102.31,103.06,101.78,102.36,15251490
2021-08-20,102.41,102.9,102.13,102.63,10004542
2021-08-23,103.15,103.92,103.06,103.47,7370039
2021-08-24,103.67,104.45,103.65,103.99,6570383
2021-08-25,104.07,105,103.74,104.66,8420856
2021-08-26,104.54,104.61,103.98,104.2,8661875
2021-08-27,104.55,105.21,104.32,104.92,9340679
2021-08-30,105.1,105.28,104.55,104.8,5755646
2021-08-31,104.73,104.95,104.27,104.51,8311023
2021-09-01,104.7,104.73,103.72,104.11,11738282
2021-09-02,104.54,105.24,104.52,105.23,8513377
2021-09-03,104.92,105.14,104.52,104.59,8762867
2021-09-07,104.23,104.3,102.71,102.78,16113560
2021-09-08,102.54,103.12,102.14,102.92,11931397
2021-09-09,102.75,103.48,102.17,102.42,8106714
2021-09-10,102.92,103.12,101.91,101.96,8339162
2021-09-13,102.74,103,101.46,102.23,10739103
2021-09-14,102.51,102.6,100.77,101,9896742
2021-09-15,101.05,102.37,100.83,102.11,8081950
2021-09-16,102.12,102.35,101.24,101.41,8210084
2021-09-17,101.06,101.3,100.17,100.33,11705994
2021-09-20,98.54,99.06,97.78,98.86,18231874
2021-09-21,99.34,99.4,97.89,98.34,12257336
2021-09-22,98.63,99.79,98.63,99.12,10523033
2021-09-23,99.6,101.19,99.55,100.64,9600448
2021-09-24,100.4,101.13,100.31,100.85,7099855
2021-09-27,101,101.85,100.89,100.95,7928796
2021-09-28,100.72,100.93,99.54,99.78,14134772
2021-09-29,100.22,100.41,99.74,99.89,10583099
2021-09-30,100.25,100.29,97.73,97.84,20902769
2021-10-01,98.46,99.71,97.48,99.18,14330437
2021-10-04,99.01,99.64,98.02,98.64,17640723
2021-10-05,98.88,100.25,98.39,99.74,10625461
2021-10-06,98.67,100.22,98.2,100.18,12515064
2021-10-07,100.95,101.69,100.87,100.96,8424003
2021-10-08,100.89,101.2,100.52,100.95,7025646
2021-10-11,100.8,101.46,100.13,100.14,8875156
2021-10-12,100.26,100.61,99.61,99.81,8882981
2021-10-13,99.99,100.44,98.93,100.02,10925010
2021-10-14,100.83,101.94,100.62,101.91,8726493
2021-10-15,102.64,103.33,102.47,102.89,10196280
2021-10-18,102.3,103.07,101.89,102.96,5910594
2021-10-19,103.41,103.61,102.86,103.57,5949957
2021-10-20,103.59,104.33,103.35,104.22,7811750
2021-10-21,104,104.48,103.74,104.43,6668665
2021-10-22,104.65,105.19,104.48,104.8,8092794
2021-10-25,104.61,105.44,104.3,105.04,7072843
2021-10-26,104.93,105.37,104.38,104.39,9550140
2021-10-27,104.59,104.66,103.14,103.17,7783679
2021-10-28,103.32,104.49,103.32,104.46,7144216
2021-10-29,104.27,104.87,104.07,104.49,5869478
2021-11-01,104.74,104.99,104.27,104.78,8095621
2021-11-02,104.91,105.23,104.63,105.13,7258339
2021-11-03,104.54,104.97,103.99,104.9,10243144
2021-11-04,105.2,105.7,105.08,105.32,8461563
2021-11-05,106.54,107.05,106.04,106.39,11486138
2021-11-08,107.28,107.58,106.41,106.83,7525524
2021-11-09,107.06,107.36,106.5,107.1,9177938
2021-11-10,106.95,107.29,106.2,106.5,8128400
2021-11-11,106.62,106.71,105.95,106.06,5112029
2021-11-12,106.33,107.08,106.02,106.9,6991961
2021-11-15,107.32,107.45,106.86,107.1,6626919
2021-11-16,107.11,107.65,107.02,107.12,5669509
2021-11-17,107.14,107.28,106.11,106.48,7239239
2021-11-18,106.72,106.83,105.71,106.26,8211554
2021-11-19,106.21,106.29,105.58,105.73,7738803
2021-11-22,106.03,107.01,105.81,106.02,10483881
2021-11-23,106.14,106.58,105.65,106.2,11384895
2021-11-24,105.85,106.3,105.71,106.08,8932401
2021-11-26,103.31,103.78,102.48,103.21,12791021
2021-11-29,104.28,104.28,102.84,103.39,9887718
2021-11-30,102.59,102.93,100.66,100.77,17024819
2021-12-01,102.3,102.72,99.33,99.37,17075772
2021-12-02,100.16,102.67,99.79,102.32,18223237
2021-12-03,102.52,102.78,101.17,102.2,15594965
2021-12-06,103.26,104.58,103.05,103.93,11531084
2021-12-07,104.7,105.86,104.67,104.99,9188767
2021-12-08,105.04,105.44,104.72,105.25,8376003
2021-12-09,104.83,105.46,104.56,104.92,6091486
2021-12-10,105.39,105.57,104.84,105.35,6865250
2021-12-13,105.11,105.31,104.08,104.26,9061738
2021-12-14,103.7,104.71,102.86,103.27,11616259
2021-12-15,103.56,104.31,102.86,104.17,14244092
2021-12-16,104.84,105.3,103.85,104.22,10100628
2021-12-17,104.2,104.32,102.41,102.44,15546196
2021-12-20,100.81,100.83,99.56,100.42,15711211
2021-12-21,101.2,102.63,101.13,102.42,8811738
2021-12-22,102.37,102.89,102.2,102.71,7308158
2021-12-23,103.08,104.26,103.06,103.92,6087145
2021-12-27,104.08,105.06,103.93,105.02,4379471
2021-12-28,104.91,105.82,104.86,105.55,4552467
2021-12-29,105.42,105.97,105.26,105.74,5009092
2021-12-30,105.9,106.37,105.27,105.36,5116957
2021-12-31,105.18,106.23,105.06,105.81,6652813
2022-01-03,106.03,106.26,104.39,104.94,8249837
2022-01-04,105.65,107.25,105.5,107.05,12608815
2022-01-05,107.33,107.88,105.98,106.03,13643732
2022-01-06,106.4,106.91,105.98,106.52,8518572
2022-01-07,106.56,107.2,106.45,106.49,10010165
2022-01-10,106.23,106.32,104.47,105.29,12941530
2022-01-11,105.4,106.04,104.26,105.92,10011321
2022-01-12,106.37,106.8,105.92,106.26,7813168
2022-01-13,106.55,107.44,106.11,106.49,9460577
2022-01-14,105.56,105.94,104.77,105.85,12113266
2022-01-18,104.88,105.07,104.03,104.63,12001363
2022-01-19,104.91,105.05,103.37,103.46,11565695
2022-01-20,103.64,104.73,102,102.14,14258936
2022-01-21,102.15,102.92,100.8,101.2,28343573
2022-01-24,99.51,101.93,98.05,101.78,29913558
2022-01-25,100.01,101.62,98.36,100.78,22993475
2022-01-26,101.36,102.49,98.88,99.9,22426107
2022-01-27,100.75,101.56,98.36,99.01,18928881
2022-01-28,98.62,99.71,96.94,99.7,18585057
2022-01-31,99.13,100.85,98.8,100.74,9955567
2022-02-01,101.37,102.46,100.76,102.13,13281987
2022-02-02,102,103.05,101.58,102.84,11781690
2022-02-03,102.23,102.62,101.06,101.2,11614978
2022-02-04,100.64,101.1,99.28,100.11,12662422
2022-02-07,100.37,100.97,99.84,100.19,8657511
2022-02-08,100.46,101.39,100.05,101.19,8718763
2022-02-09,102.12,102.72,102.01,102.58,10543849
2022-02-10,101.37,102.76,100.38,100.9,12805694
2022-02-11,100.93,101.4,98.87,99.36,15978671
2022-02-14,99.5,99.78,98.2,98.99,12765156
2022-02-15,100.02,100.91,99.91,100.48,8752468
2022-02-16,100.19,101.36,99.96,101.01,6769384
2022-02-17,100.22,100.43,98.99,99.16,9322556
2022-02-18,98.98,99.73,98.02,98.34,10206881
2022-02-22,98.28,98.84,96.86,97.39,14557731
2022-02-23,97.81,97.97,95.44,95.6,13976956
2022-02-24,94.19,97.03,93.4,96.82,22706013
2022-02-25,97.06,99.46,97,99.13,10879132
2022-02-28,98.21,100.09,98.16,99.89,14822802
2022-03-01,99.53,100.16,97.76,98.4,18919692
2022-03-02,98.88,100.98,98.74,100.5,14245855
2022-03-03,101.24,101.51,100.17,100.61,12252845
2022-03-04,99.59,100.51,99,100.39,14373704
2022-03-07,100.39,100.8,97.67,97.7,13895672
2022-03-08,97.94,99.71,97.01,97.1,18027190
2022-03-09,98.81,99.61,98.41,98.86,15863159
2022-03-10,97.62,98.92,97.53,98.73,10566408
2022-03-11,99.3,99.91,97.88,97.94,8631829
2022-03-14,98.53,99.34,97.58,98.27,10713533
2022-03-15,99.2,100.03,98.57,99.83,9359379
2022-03-16,100.29,101.33,99.15,101.15,13430315
2022-03-17,100.5,102.5,100.5,102.45,9212968
2022-03-18,102.09,102.93,101.51,102.84,11529618
2022-03-21,102.26,103.11,102.08,102.73,8816678
2022-03-22,103.05,103.55,102.75,103.29,6826188
2022-03-23,102.86,103.07,102.28,102.3,8506015
2022-03-24,102.82,103.13,102.29,103.08,6552295
2022-03-25,103.3,103.76,102.84,103.72,6062162
2022-03-28,103.53,103.78,102.79,103.75,6015177
2022-03-29,104.43,104.77,103.69,104.71,10049227
2022-03-30,104.6,105.23,104.13,104.59,6974681
2022-03-31,104.21,104.96,102.96,102.98,7859152
2022-04-01,103.42,103.51,101.43,102.18,9425529
2022-04-04,101.98,102.13,100.79,102.05,8254667
2022-04-05,101.65,102.47,100.39,100.6,13506410
2022-04-06,99.76,100.11,99.14,99.82,13161620
2022-04-07,99.46,100.52,98.56,100.16,10501563
2022-04-08,99.99,100.49,99.37,99.6,10410188
2022-04-11,99.28,100.4,99.1,99.28,9304426
2022-04-12,99.58,100.56,98.69,99.12,9823463
2022-04-13,99.32,100.16,99.31,100.05,6506527
2022-04-14,100.38,100.91,99.92,99.94,7058944
2022-04-18,99.66,100.6,99.17,99.59,7419559
2022-04-19,99.92,101.54,99.87,101.4,9243731
2022-04-20,102.26,102.65,101.81,101.95,7417620
2022-04-21,102.96,103.12,100.67,100.91,9577510
2022-04-22,100.39,100.46,98.34,98.43,10047685
2022-04-25,97.86,98.58,96.18,98.43,13585129
2022-04-26,97.7,98.07,96.25,96.28,12606199
2022-04-27,96.23,97.51,95.78,96.64,11144361
2022-04-28,96.91,98.11,95.73,97.73,11531302
2022-04-29,97.58,98.08,94.95,95.14,11876132
2022-05-02,95.04,96.19,93.49,95.34,16196652
2022-05-03,95.54,96.6,95.14,95.97,11163825
2022-05-04,95.92,98.98,95.66,98.75,15672306
2022-05-05,97.8,98.28,95.4,96.17,20788357
2022-05-06,95.78,95.82,93.96,95.52,20573673
2022-05-09,94.41,94.78,92.82,93.21,17396096
2022-05-10,94.18,94.5,91.68,92.6,18855622
2022-05-11,92.53,94.14,91.61,91.76,18050852
2022-05-12,91.29,92.51,90.19,91.93,15043883
2022-05-13,92.75,93.63,92.15,93.1,11182429
2022-05-16,92.83,93.71,92.2,92.97,9295675
2022-05-17,94.47,95.22,93.67,95.08,8084805
2022-05-18,94.26,94.4,91.27,91.54,9317838
2022-05-19,90.58,91.88,89.68,90.72,11558880
2022-05-20,91,91.19,88.03,89.74,12048028
2022-05-23,90.61,91.44,90.16,91.21,9894620
2022-05-24,90.74,91.37,89.24,91.16,8401425
2022-05-25,90.86,92.04,90.54,91.69,8056396
2022-05-26,92.52,94.01,92.33,93.55,6537154
2022-05-27,94.29,95.49,94.17,95.47,7226110
2022-05-31,94.47,95.36,93.8,94.7,10235132
2022-06-01,95.26,95.49,93.35,94.12,7334558
2022-06-02,94.77,95.97,93.93,95.92,7066521
2022-06-03,95.09,95.8,94.95,95.55,5679966
2022-06-06,96.24,96.54,95.74,95.95,6755400
2022-06-07,95.1,97.34,94.78,97.24,5949980
2022-06-08,96.51,96.75,95.25,95.48,5578516
2022-06-09,95.08,95.46,93.6,93.6,5608629
2022-06-10,91.94,92.15,90.81,90.84,8882225
2022-06-13,89.05,89.18,87.56,88.11,16183937
2022-06-14,88.49,89.15,87.16,87.89,9124990
2022-06-15,88.58,89.8,87.37,88.74,11414289
2022-06-16,87.01,87.06,85.33,85.78,11235955
2022-06-17,85.68,86.41,84.57,85.56,10672045
2022-06-21,86.53,87.07,85.93,86.74,7222530
2022-06-22,85.52,86.96,85.35,86.26,7655973
2022-06-23,86.22,86.56,84.75,85.82,8317466
2022-06-24,86.64,88.83,86.6,88.82,7714895
2022-06-27,89.29,89.29,88.21,88.61,5015961
2022-06-28,89.2,90.2,87.5,87.58,4744719
2022-06-29,87.75,87.76,86.38,87.07,5846441
2022-06-30,86.01,87.72,85.61,87.34,7175466
2022-07-01,87.18,88.39,86.51,88.1,10275001
2022-07-05,86.62,86.82,85.27,86.78,9495318
2022-07-06,86.94,87.82,86.16,87.28,8360079
2022-07-07,87.89,88.53,87.31,88.31,4972360
2022-07-08,88.08,88.47,87.23,87.91,4138893
2022-07-11,87.4,87.91,87.12,87.32,6964618
2022-07-12,86.92,88.23,86.73,87.05,6726559
2022-07-13,85.66,86.72,85.44,85.99,7865604
2022-07-14,84.76,85.6,84.27,85.5,5817715
2022-07-15,86.7,86.97,85.79,86.84,5775350
2022-07-18,87.61,87.95,86.05,86.32,5504487
2022-07-19,87.03,89.56,87.01,89.4,6457192
2022-07-20,89.43,90.33,89.11,90.09,7146437
2022-07-21,89.83,90.76,89.48,90.74,4943480
2022-07-22,91.04,91.33,90.03,90.45,5203887
2022-07-25,90.55,91.14,90,90.88,5110871
2022-07-26,90.59,91.22,90.18,90.39,4847373
2022-07-27,90.98,92.24,90.38,91.79,7610501
2022-07-28,92.25,93.81,91.99,93.71,7029091
2022-07-29,93.74,95.84,93.74,95.64,7961080
2022-08-01,95.04,96.05,94.86,95.74,7363764
2022-08-02,95.38,95.91,94.54,94.73,6317222
2022-08-03,95.14,95.92,94.48,95.62,4500456
2022-08-04,95.64,96.25,95.42,95.97,4569815
2022-08-05,94.99,96.19,94.99,96.12,6814138
2022-08-08,96.87,97.14,95.84,96.09,4844086
2022-08-09,96.08,96.23,95.53,95.74,3553638
2022-08-10,97.26,98.15,97.04,97.84,5094988
2022-08-11,98.48,99.23,98.17,98.36,4798965
2022-08-12,98.81,99.87,98.46,99.84,6543812
2022-08-15,99.15,100.22,99,100.08,4887289
2022-08-16,99.6,100.97,99.6,100.53,4925208
2022-08-17,99.35,100.19,99.2,99.73,4987474
2022-08-18,99.91,100.28,99.56,100.13,4277418
2022-08-19,99.51,99.54,98.57,98.84,5761202
2022-08-22,97.63,97.78,96.83,96.96,4711149
2022-08-23,97,97.78,96.84,97.14,6299202
2022-08-24,97.24,97.75,97.05,97.46,5846214
2022-08-25,97.9,98.98,97.81,98.95,5232509
2022-08-26,99.14,99.19,95.45,95.52,6640856
2022-08-29,94.91,95.85,94.54,95.09,5456024
2022-08-30,95.3,95.43,93.32,93.72,7905207
2022-08-31,94.1,94.27,92.83,92.93,8315340
2022-09-01,92.32,93.12,91.92,93.06,7469120
2022-09-02,94.1,94.22,91.73,92.16,7735709
2022-09-06,92.2,92.77,91.51,92.31,9738213
2022-09-07,91.98,94.03,91.96,93.79,6752730
2022-09-08,93.22,94.11,92.63,94.07,5901677
2022-09-09,94.68,95.49,94.63,95.29,6440523
2022-09-12,95.84,96.35,95.36,95.86,4988989
2022-09-13,93.8,94.54,91.89,92.25,9792167
2022-09-14,92.2,92.48,90.92,92.07,7569015
2022-09-15,92,92.65,90.82,91.11,8515610
2022-09-16,89.07,89.61,88.44,89.21,10933275
2022-09-19,88.17,90.12,88.11,89.99,7203793
2022-09-20,89.32,89.38,88.13,88.87,5242442
