date,open,high,low,close,volume
2021-08-13,77.1,77.515,77.04,77.495,4555568
2021-08-16,77.31,77.855,76.655,77.845,7796184
2021-08-17,77.37,77.495,76.72,77.2,14331664
2021-08-18,77.015,77.365,76.05,76.135,10911948
2021-08-19,75.715,77.165,75.605,76.88,15438502
2021-08-20,77.175,77.94,76.985,77.87,11070290
2021-08-23,78.075,78.99,78.07,78.875,8923888
2021-08-24,78.99,79.065,78.715,78.785,7796546
2021-08-25,78.93,79.18,78.61,78.74,7843580
2021-08-26,78.65,78.805,78.18,78.245,9977898
2021-08-27,78.3,79.055,78.18,79,10891626
2021-08-30,79.235,79.945,79.23,79.85,8123018
2021-08-31,79.9,79.925,79.28,79.43,17865332
2021-09-01,79.705,80.065,79.385,79.45,14876952
2021-09-02,79.745,79.85,79.045,79.365,16218638
2021-09-03,79.27,79.89,79.245,79.68,15934868
2021-09-07,79.775,79.87,79.32,79.7,15116930
2021-09-08,79.685,79.715,78.83,79.395,9462728
2021-09-09,79.475,79.725,79.03,79.095,8983608
2021-09-10,79.52,79.73,78.235,78.315,12706322
2021-09-13,78.91,79.115,77.825,78.34,17847908
2021-09-14,78.685,78.835,78.03,78.24,15229448
2021-09-15,78.515,78.99,78.065,78.925,13681166
2021-09-16,78.645,79.05,78.155,78.97,13436486
2021-09-17,78.84,78.84,77.625,77.74,19103308
2021-09-20,76.44,76.855,75.17,76.19,28201896
2021-09-21,76.655,76.845,75.925,76.22,14740304
2021-09-22,76.635,77.565,76.295,77.265,21705110
2021-09-23,77.665,78.485,77.425,78.3,16494508
2021-09-24,77.825,78.485,77.79,78.355,9552942
2021-09-27,77.695,77.875,77.1,77.595,12236758
2021-09-28,76.58,76.775,75.235,75.295,31660456
2021-09-29,75.585,76,75.07,75.2,20509172
2021-09-30,75.64,75.965,74.625,74.66,27660432
2021-10-01,74.94,75.95,74.17,75.785,33815726
2021-10-04,75.35,75.44,73.44,74.03,39228540
2021-10-05,74.165,75.515,74.11,75.085,24641336
2021-10-06,74.22,75.63,73.97,75.575,29507182
2021-10-07,76.23,76.855,76.125,76.265,14621758
2021-10-08,76.56,76.615,75.855,75.98,15198198
