date,open,high,low,close,volume
2021-08-13,71.98,72.58,71.89,72.51,7580255
2021-08-16,72.51,72.95,72.38,72.93,7177711
2021-08-17,72.8,73.25,72.63,72.97,10696962
2021-08-18,72.81,72.95,72.01,72.06,9484251
2021-08-19,71.75,72.79,71.7,72.64,12220065
2021-08-20,72.62,73.05,72.36,72.76,9780273
2021-08-23,72.69,72.9,72.5,72.53,8124789
2021-08-24,72.49,72.51,71.88,71.98,7829379
2021-08-25,71.94,72.03,71.61,71.86,7536814
2021-08-26,71.7,71.81,71.29,71.53,12028656
2021-08-27,71.58,71.91,71.36,71.78,8501502
2021-08-30,71.8,72.17,71.72,72.1,5138422
2021-08-31,72.16,72.34,71.98,72.26,7027812
2021-09-01,72.32,72.71,72.19,72.64,7532221
2021-09-02,72.79,73.04,72.66,72.92,6012178
2021-09-03,72.64,72.94,72.49,72.83,5451950
2021-09-07,72.71,72.71,71.94,71.99,7711570
2021-09-08,71.9,72.69,71.86,72.61,9286446
2021-09-09,72.54,72.56,72.12,72.19,7120428
2021-09-10,72.27,72.36,71.74,71.88,8273963
2021-09-13,72.16,72.68,71.88,72.06,9621328
2021-09-14,72.24,72.29,71.61,71.73,7650379
2021-09-15,71.73,72.12,71.56,71.99,8389545
2021-09-16,71.82,72.12,71.15,71.75,9383847
2021-09-17,71.56,71.82,71.35,71.36,11318538
2021-09-20,70.43,70.84,69.67,70.21,14203343
2021-09-21,70.4,70.97,69.99,70.13,10477202
2021-09-22,70.59,70.77,70.19,70.33,9037240
2021-09-23,70.42,70.91,70.36,70.59,7653216
2021-09-24,70.48,70.93,70.48,70.62,6339476
2021-09-27,70.51,70.84,70.24,70.3,7412885
2021-09-28,70.12,70.2,69.22,69.47,13530554
2021-09-29,69.61,70.46,69.46,70.1,11603877
2021-09-30,70.27,70.33,68.81,68.84,15110512
2021-10-01,69.05,69.35,68.37,69.02,14078820
2021-10-04,69,69.49,68.32,68.8,16805346
2021-10-05,68.97,69.46,68.82,69.15,13812517
2021-10-06,68.79,69.89,68.71,69.82,13219275
