date,open,high,low,close,volume
2021-08-13,34.185,34.38,34.1,34.34,20082654
2021-08-16,34.34,34.795,34.305,34.55,22683928
2021-08-17,34.455,34.575,34.225,34.57,20688716
2021-08-18,34.565,34.64,34.28,34.395,24840296
2021-08-19,34.41,34.815,34.37,34.535,25343390
2021-08-20,34.475,34.99,34.295,34.965,19718114
2021-08-23,34.9,34.95,34.45,34.515,19877274
2021-08-24,34.5,34.53,34.06,34.29,22947518
2021-08-25,34.275,34.465,34.09,34.355,14628804
2021-08-26,34.355,34.37,34.195,34.27,14852198
2021-08-27,34.305,34.42,34.195,34.26,18760574
2021-08-30,34.25,34.41,34.135,34.31,17370386
2021-08-31,34.335,34.465,34.125,34.27,19970208
2021-09-01,34.365,34.835,34.32,34.72,24385786
2021-09-02,34.8,35.03,34.76,35.035,18381242
2021-09-03,34.93,34.98,34.66,34.745,17008348
2021-09-07,34.715,34.72,34.225,34.285,22378772
2021-09-08,34.26,34.995,34.185,34.9,25666996
2021-09-09,34.79,34.915,34.68,34.71,14565872
2021-09-10,34.685,34.725,34.215,34.225,22154520
2021-09-13,34.52,34.555,34.065,34.165,21271130
2021-09-14,34.275,34.385,33.965,34.05,23420984
2021-09-15,34,34.23,33.815,34.005,17733392
2021-09-16,34,34.14,33.67,33.72,22480010
2021-09-17,33.65,33.83,33.17,33.2,21619822
2021-09-20,32.88,33.18,32.53,32.89,34507202
2021-09-21,32.985,33.21,32.78,32.8,23357260
2021-09-22,32.92,33.045,32.655,32.78,22244412
2021-09-23,32.785,33.025,32.575,32.605,16829496
2021-09-24,32.595,32.815,32.49,32.57,17631924
2021-09-27,32.515,32.845,32.135,32.185,19893364
2021-09-28,32.155,32.205,31.685,31.78,35353826
2021-09-29,31.865,32.42,31.79,32.195,26582882
2021-09-30,32.315,32.335,31.895,31.94,24949980
2021-10-01,32.135,32.195,31.83,31.94,25537702
2021-10-04,31.905,32.475,31.89,32.38,35010386
2021-10-05,32.405,32.535,32.26,32.3,23785376
2021-10-06,32.2,32.825,32.005,32.8,29711370
2021-10-07,32.86,33.12,32.585,32.625,25564446
2021-10-08,32.62,32.685,32.36,32.385,16006796
2021-10-11,32.25,32.315,31.9,31.945,23420388
2021-10-12,31.975,32.255,31.905,32.16,18919666
2021-10-13,32.17,32.56,32,32.535,24262486
2021-10-14,32.645,33,32.565,32.935,18964824
2021-10-15,32.985,33.1,32.785,32.84,24430626
2021-10-18,32.615,32.705,32.35,32.525,18956960
2021-10-19,32.78,32.98,32.685,32.935,19946844
2021-10-20,33.07,33.585,33.035,33.455,25171274
2021-10-21,33.475,33.59,33.41,33.455,14263484
2021-10-22,33.545,33.685,33.47,33.625,19216592
2021-10-25,33.575,33.685,33.395,33.48,13281720
2021-10-26,33.51,33.92,33.455,33.66,17685808
2021-10-27,33.74,33.825,33.4,33.435,20088216
2021-10-28,33.405,33.66,33.365,33.655,13354686
2021-10-29,33.645,33.785,33.29,33.455,19742914
2021-11-01,33.445,33.66,33.34,33.575,14522092
2021-11-02,33.7,33.765,33.365,33.605,17789718
2021-11-03,33.55,33.685,33.205,33.48,19054554
2021-11-04,33.43,33.5,32.95,33.295,23617166
2021-11-05,33.405,33.755,33.37,33.61,18966540
2021-11-08,33.635,33.655,32.95,33.11,17717408
2021-11-09,33.17,33.375,33.065,33.28,14818584
2021-11-10,33.305,33.58,33.285,33.55,23481058
2021-11-11,33.53,33.545,33.17,33.345,14258718
2021-11-12,33.345,33.415,33.18,33.325,16475862
2021-11-15,33.465,33.78,33.4,33.765,16608692
2021-11-16,33.775,33.845,33.58,33.605,12025430
2021-11-17,33.525,33.685,33.355,33.635,17547068
2021-11-18,33.58,33.645,33.345,33.46,13684746
2021-11-19,33.49,33.725,33.415,33.65,18225096
2021-11-22,33.61,34.035,33.535,33.855,21251896
2021-11-23,33.865,34.09,33.685,33.89,17338484
2021-11-24,33.875,33.98,33.7,33.91,14655212
2021-11-26,33.67,33.89,33.295,33.38,19760892
2021-11-29,33.635,33.97,33.37,33.875,20857176
2021-11-30,33.68,33.72,32.855,32.885,43555612
2021-12-01,33.105,33.74,32.925,32.945,42953732
2021-12-02,33.04,33.675,33.025,33.365,32319240
2021-12-03,33.53,33.71,33.04,33.7,40087258
2021-12-06,33.92,34.57,33.905,34.215,37392894
2021-12-07,34.21,34.555,34.13,34.47,19091198
2021-12-08,34.5,34.67,34.25,34.435,22597212
2021-12-09,34.515,34.585,34.155,34.39,22107656
2021-12-10,34.54,34.74,34.395,34.575,20219306
2021-12-13,34.555,35.17,34.54,35,25169214
2021-12-14,34.955,35.065,34.625,34.79,32851612
2021-12-15,34.75,35.39,34.75,35.36,36915670
2021-12-16,35.34,35.755,35.295,35.54,27689340
2021-12-17,35.42,35.58,34.93,35.005,35856650
2021-12-20,34.4,34.8,34.115,34.765,27119110
2021-12-21,34.96,35.105,34.53,34.715,29021140
2021-12-22,34.61,34.915,34.61,34.865,15591370
2021-12-23,34.885,35.04,34.82,34.86,11857280
2021-12-27,34.875,35.03,34.77,35.03,11817754
2021-12-28,35.08,35.355,35.055,35.345,13633060
2021-12-29,35.405,35.59,35.325,35.535,11910184
2021-12-30,35.63,35.7,35.405,35.665,16361676
2021-12-31,35.59,35.915,35.52,35.79,16880638
2022-01-03,35.775,35.785,35.025,35.435,37321868
2022-01-04,35.455,35.78,35.315,35.325,26766892
2022-01-05,35.3,35.705,35.27,35.305,34923476
2022-01-06,35.305,35.45,34.9,34.94,33552602
2022-01-07,34.87,35.375,34.65,35.205,33392292
2022-01-10,35.175,35.225,34.8,34.975,27669800
2022-01-11,34.945,35.075,34.425,34.66,29644876
2022-01-12,34.55,34.865,34.45,34.77,23940918
2022-01-13,34.755,35.075,34.735,34.94,29082596
2022-01-14,34.94,35.005,34.525,34.7,29878182
2022-01-18,34.435,34.505,34.015,34.285,32830884
2022-01-19,34.295,34.745,34.285,34.44,28302800
2022-01-20,34.55,34.985,34.445,34.485,27256510
2022-01-21,34.655,34.835,34.35,34.42,45135438
2022-01-24,34.38,34.49,33.215,34.09,53479530
2022-01-25,33.555,33.96,33.4,33.555,46747490
2022-01-26,33.62,33.985,33.095,33.28,45194142
2022-01-27,33.575,33.995,33.41,33.575,41655942
2022-01-28,33.485,34.01,33.23,33.98,46488946
2022-01-31,33.78,34.655,33.71,34.625,42886360
2022-02-01,34.53,34.715,33.845,34.165,37890536
2022-02-02,34.14,34.72,34.08,34.67,39436652
2022-02-03,34.57,34.73,34.42,34.515,31364050
2022-02-04,34.215,34.545,33.895,34.24,30987662
2022-02-07,34.18,34.33,33.98,34.19,22475836
2022-02-08,34.33,34.44,34.13,34.215,26798260
2022-02-09,34.46,34.54,34.26,34.365,28126346
2022-02-10,34.025,34.19,33.42,33.495,41454416
2022-02-11,33.64,33.89,33.365,33.515,33637938
2022-02-14,33.625,33.68,32.91,33.23,33799664
2022-02-15,33.43,33.565,32.925,33.075,28899434
2022-02-16,33.12,33.295,32.825,33.15,30020998
2022-02-17,33,33.33,32.765,33.17,26944836
2022-02-18,32.995,33.385,32.96,33.11,31148778
2022-02-22,33.225,33.31,32.85,33.075,32283280
2022-02-23,33.135,33.235,32.48,32.515,32364802
2022-02-24,32.305,32.84,32.14,32.775,53719226
2022-02-25,33.1,33.83,32.99,33.79,39131524
2022-02-28,33.585,34.015,33.545,33.965,31100562
2022-03-01,33.895,34.19,33.415,33.67,30867422
2022-03-02,33.685,34.205,33.665,34.08,26982114
2022-03-03,34.215,34.85,34.185,34.68,36179818
2022-03-04,34.59,35.475,34.52,35.445,45682154
2022-03-07,35.525,35.985,35.225,35.905,54500994
2022-03-08,36,36.185,35.335,35.35,47990746
2022-03-09,35.605,35.655,35.035,35.1,41525482
2022-03-10,34.835,35.405,34.81,35.335,29679014
2022-03-11,35.39,35.625,35.18,35.215,22074482
2022-03-14,35.47,35.62,34.995,35.175,36285286
2022-03-15,35.515,35.7,35.31,35.625,25961532
