date,open,high,low,close,volume
2021-08-13,133.18,133.72,133.03,133.69,6273198
2021-08-16,133.66,135.23,133.23,135.21,6639754
2021-08-17,134.81,136.78,134.77,136.81,10898231
2021-08-18,136.63,136.78,134.65,134.73,10824352
2021-08-19,133.85,136.04,133.8,135.34,10026347
2021-08-20,135.47,136.52,135,136.11,6195171
2021-08-23,136.88,136.98,136.12,136.16,6609272
2021-08-24,135.99,136.18,135.29,135.68,5729836
2021-08-25,135.55,135.63,134.75,135.31,5620973
2021-08-26,135.39,135.69,134.52,134.78,4968484
2021-08-27,135.08,135.45,134.41,134.63,7109276
2021-08-30,134.51,135.88,134.5,135.39,5303374
2021-08-31,135.42,136.05,134.73,135.21,7814962
2021-09-01,135.32,135.44,133.96,135.25,9041822
2021-09-02,135.75,136.72,135.6,136.7,5882096
2021-09-03,136.43,137.05,135.91,136.85,4843759
2021-09-07,136.34,136.56,135.16,136.05,7592367
2021-09-08,135.78,136.21,135.42,135.99,6111341
2021-09-09,135.8,136.11,134.34,134.42,7248413
2021-09-10,134.9,135.02,133.12,133.19,8571097
2021-09-13,133.89,133.97,131.7,132.37,10057835
2021-09-14,133.03,133.3,132.12,132.35,8291441
2021-09-15,132.19,133.83,131.98,133.21,8790254
2021-09-16,133.38,133.63,131.96,132.87,7745557
2021-09-17,132.76,133.11,132.13,133,9991779
2021-09-20,131.05,132.32,130.01,131.15,12726564
2021-09-21,131.75,132.7,131.33,131.35,9462476
2021-09-22,131.66,132.24,130.94,131.57,9484656
2021-09-23,131.88,133.29,131.77,132.52,8783825
2021-09-24,132.31,132.79,131.7,131.98,5971494
2021-09-27,131.6,131.76,129.82,130.1,10017477
2021-09-28,129.25,129.28,127.43,127.87,14148303
2021-09-29,128.44,129.48,128.18,128.88,9415061
2021-09-30,129.31,130.12,127.19,127.3,17253199
2021-10-01,127.47,127.93,125.28,127.33,17425818
2021-10-04,126.81,127.46,124.76,125.39,19737872
2021-10-05,125.9,127.42,125.73,126.14,14114227
2021-10-06,125.44,126.02,124.5,125.91,16366252
2021-10-07,126.78,128.4,126.54,127.58,10599375
2021-10-08,127.73,128,126.68,126.94,7849480
2021-10-11,126.83,127.5,125.91,125.95,6833640
2021-10-12,126.35,126.48,125.02,125.34,10676667
2021-10-13,125.55,126.11,124.76,125.54,8386087
2021-10-14,126.93,127.84,126.84,127.34,7522086
2021-10-15,128,128.55,127.73,127.97,7247360
2021-10-18,127.41,127.54,126.55,127.1,8406755
2021-10-19,127.79,129.1,127.79,128.77,7582864
2021-10-20,129.55,130.81,129.42,130.61,10182573
2021-10-21,130.88,131.22,129.93,131.14,6763717
2021-10-22,131.02,131.72,130.82,131.67,6821614
2021-10-25,131.73,131.98,130.71,131.83,8306823
2021-10-26,132.13,132.86,131.41,132.48,7866688
2021-10-27,132.69,132.83,131.39,131.43,10298255
2021-10-28,131.67,133.04,131.66,132.53,7208307
2021-10-29,132.36,133.99,131.85,133.82,13159827
2021-11-01,133.94,134.49,133.15,133.66,11244879
2021-11-02,134.18,135.17,133.01,134.5,13698256
2021-11-03,134.28,135.34,133.74,135.29,11366674
2021-11-04,134.98,135.19,133.43,134.36,10786387
2021-11-05,133.15,133.7,131.89,132.86,11293384
2021-11-08,133.14,133.82,132.58,133.65,6397216
2021-11-09,133.64,133.81,132.9,133.16,6056381
2021-11-10,133.12,134.08,133.1,133.54,7101099
2021-11-11,133.52,133.61,132.83,133.15,6565179
2021-11-12,134.01,134.12,133.07,133.81,5629128
2021-11-15,134.11,134.19,132.85,132.98,5233429
2021-11-16,132.93,134.27,132.72,133.54,4996698
2021-11-17,133.69,134.25,133.11,133.73,6531262
2021-11-18,133.87,134.12,133.32,133.78,6156704
2021-11-19,134.18,134.63,132.85,132.97,7955689
2021-11-22,133.11,133.62,132.2,132.37,9257553
2021-11-23,131.75,132.65,131.35,132.51,10428543
2021-11-24,132.24,132.7,131.8,132.46,5718259
2021-11-26,132.94,133.72,131.5,131.97,9658473
2021-11-29,132.69,133.22,132.19,132.33,11375897
2021-11-30,131.57,132.17,129.54,129.73,15013383
2021-12-01,130.37,132.09,129.48,129.5,17305930
2021-12-02,129.21,130.66,128.84,130.13,14117466
2021-12-03,131.05,131.54,129.29,130.37,17440077
2021-12-06,130.75,131.68,130.5,131.11,12573335
2021-12-07,132,133.12,131.82,132.8,10313765
2021-12-08,133.18,133.89,132.51,133.8,10579288
2021-12-09,133.67,134.55,133.57,134.11,7998314
2021-12-10,133.76,134.86,133.7,134.58,6902280
2021-12-13,134.62,136.23,134.58,135.85,10005556
2021-12-14,135.22,136.01,134.63,135.3,9334394
2021-12-15,135.59,138.14,135.47,138.07,11756401
2021-12-16,138.09,139.59,137.81,138.89,15992837
2021-12-17,138.25,139.04,137.38,137.92,16364304
2021-12-20,137.11,137.53,135.38,136.56,11448594
2021-12-21,136.95,137.19,135.68,137.13,8740671
2021-12-22,137.11,138.81,136.82,138.73,6064866
2021-12-23,139.09,139.75,138.68,139.3,6453254
2021-12-27,139.89,140.77,139.65,140.77,5820330
2021-12-28,140.9,141.15,140.03,140.4,5006226
2021-12-29,140.27,141.49,140.16,141.2,5927434
2021-12-30,141.46,141.98,141.31,141.49,5996031
2021-12-31,141.32,141.86,140.84,140.89,6397965
2022-01-03,140.29,140.55,138.24,139.44,11983779
2022-01-04,139.1,139.29,137.01,137.6,11171069
2022-01-05,137.9,138.73,136.56,136.62,12328414
2022-01-06,135.77,136.6,134.8,135.04,12822827
2022-01-07,134.72,134.97,134.07,134.35,7811700
2022-01-10,133.76,135.81,133.44,135.73,13122019
2022-01-11,135.93,136.83,135,136.81,9998077
2022-01-12,136.03,136.63,135.82,136.42,8277824
2022-01-13,136.18,136.35,134.05,134.3,10974608
2022-01-14,133.98,134.21,132.69,134.07,11783479
2022-01-18,132.75,132.96,131.84,132.19,13049991
2022-01-19,132.5,133.48,131.52,131.65,12259050
2022-01-20,131.93,133.19,130.71,130.79,12595311
2022-01-21,131.18,131.6,129.26,129.47,21767815
2022-01-24,128.44,129.26,124.92,129.04,31165892
2022-01-25,127.33,129.31,126.27,128.21,15596722
2022-01-26,128.42,129.58,126.53,127.54,22983104
2022-01-27,128.16,129.84,127.45,127.87,14342914
2022-01-28,127.76,130.52,126.86,130.48,16180420
2022-01-31,130.22,131.47,129.98,131.23,13799668
2022-02-01,131.7,131.82,130.53,131.58,11336853
2022-02-02,131.5,133.67,131.22,133.35,10793944
2022-02-03,133.17,133.28,132.53,132.78,11636257
2022-02-04,131.57,133.23,131.33,132.3,9231265
2022-02-07,132.35,132.81,131.7,132.07,7815139
2022-02-08,131.31,133.38,131.07,133.15,9061563
2022-02-09,133.79,134.46,133.65,134.18,9449026
2022-02-10,132.63,133.79,131.56,132.08,11760885
2022-02-11,131.9,132.9,130.09,130.25,10719112
2022-02-14,129.98,130.23,127.95,128.92,11684607
2022-02-15,129.99,130.88,129.71,130.37,7483521
2022-02-16,129.7,130.94,129.34,130.57,7413909
