date,open,high,low,close,volume
2021-08-13,91.09,91.15,90.595,90.78,4162180
2021-08-16,90.25,90.43,89.405,90.36,5299400
2021-08-17,89.13,89.22,87.475,88.215,8837724
2021-08-18,88.19,89.44,88.085,88.53,7991426
2021-08-19,87.77,88.6,87.435,87.965,8687874
2021-08-20,88.105,88.87,88.025,88.81,5333240
2021-08-23,89.285,90.16,89.195,89.955,5201198
2021-08-24,90.335,90.85,90.175,90.59,4684138
2021-08-25,90.59,91.055,90.42,90.94,6266724
2021-08-26,90.625,90.675,89.915,90.1,5717696
2021-08-27,90.3,91.08,90.15,90.92,6351398
2021-08-30,91.18,91.915,91.125,91.605,5652174
2021-08-31,91.69,91.87,91.31,91.825,7426502
2021-09-01,92.14,92.31,91.75,91.82,6659386
2021-09-02,92.065,92.35,91.675,91.815,5487510
2021-09-03,91.44,91.785,91.18,91.76,5706856
2021-09-07,91.8,92.25,91.76,92.03,7203740
2021-09-08,92.08,92.355,91.38,92.135,5827046
2021-09-09,92.205,92.78,91.98,92.015,7062146
2021-09-10,92.475,92.59,91.41,91.45,7419786
2021-09-13,91.885,91.935,90.775,91.675,8697610
2021-09-14,91.845,91.97,90.99,91.37,6894176
2021-09-15,91.2,92.11,90.49,91.96,8262588
2021-09-16,91.77,92.61,91.6,92.38,9978678
2021-09-17,92.32,92.8,91.845,92.055,10251176
2021-09-20,90.165,90.64,88.69,89.82,12653586
2021-09-21,90.36,90.685,89.67,89.955,9613902
2021-09-22,90.51,91.6,90.31,91.18,9335232
2021-09-23,91.57,92.5,91.57,92.105,6800386
2021-09-24,91.515,92.53,91.405,92.45,6577108
2021-09-27,92.08,93.195,92.045,92.945,7394696
2021-09-28,92.4,92.535,90.665,91.155,11089324
2021-09-29,91.465,92.16,91.025,91.245,8860554
2021-09-30,91.26,91.33,89.73,89.725,12016678
2021-10-01,90.18,90.825,89.25,90.4,11549528
2021-10-04,90.675,90.94,89.38,89.685,14388676
2021-10-05,89.88,90.875,89.785,90.045,9007222
2021-10-06,89.485,90.435,89.12,90.33,7829312
2021-10-07,91.11,92.08,91.015,91.735,5998318
2021-10-08,91.78,91.855,91.23,91.315,5571696
2021-10-11,91.28,92,90.945,90.945,5180906
2021-10-12,91.5,92.035,91.25,91.665,7885794
2021-10-13,91.945,92.365,91.39,92.115,8974054
2021-10-14,92.665,93.23,92.55,93.08,6036402
2021-10-15,93.66,94.545,93.52,94.505,6560968
2021-10-18,94.305,95.725,94.285,95.66,5849934
2021-10-19,95.885,95.885,95.29,95.39,4531530
2021-10-20,95.37,95.745,95.155,95.32,6248906
2021-10-21,95.16,96.775,95.155,96.72,5834004
2021-10-22,96.66,96.905,95.95,96.375,5947726
2021-10-25,97.23,99.185,96.825,98.765,8680166
2021-10-26,99.195,100.805,98.39,98.78,11039884
2021-10-27,99.235,99.935,98.97,99,7759306
2021-10-28,99.83,100.61,99.55,100.315,6886342
2021-10-29,99.17,100.63,98.895,100.575,6660642
2021-11-01,101.315,102.44,100.71,102.42,8377216
2021-11-02,101.54,102.35,101.215,101.73,10417276
2021-11-03,101.705,103.625,101.61,103.56,9371088
2021-11-04,104.06,105.36,103.93,104.955,8672516
2021-11-05,105.62,106.35,105.53,105.63,7213808
2021-11-08,104.505,105.41,104.095,104.135,8397044
2021-11-09,104.51,104.64,101.915,102.21,23978914
2021-11-10,101.545,103.265,100.535,101.83,17466074
2021-11-11,102.915,102.925,101.51,101.555,9597596
2021-11-12,101.585,102.025,100.93,101.895,7885220
2021-11-15,101.97,102.165,101.225,101.81,7403712
2021-11-16,101.94,103.65,101.92,103.415,8640296
2021-11-17,103.84,104.705,103.655,104.075,13110700
2021-11-18,104.615,105.43,104.065,105.255,11448982
