session,prints,rth_prints,volume,rth_volume,first_rth,last_rth,max_rth_gap_s,side_N,off_tick,instruments,duplicate_seq
2026-03-02,441575,283624,615472,404677,09:30:00.000211,15:59:59.999519,4.911771102,1,0.0,1,62474
2026-03-03,532723,358822,704497,474143,09:30:00.001172,15:59:59.999520,3.232545708,1,0.0,1,76787
2026-03-04,428744,269792,588798,380207,09:30:00.001108,15:59:59.999531,4.966178964,1,0.0,1,50515
2026-03-05,496163,349893,670421,476718,09:30:00.001055,15:59:59.999526,2.92344256,1,0.0,1,64126
2026-03-06,473011,323617,629977,430890,09:30:00.002871,15:59:59.999518,3.562119698,2,0.0,1,61793
2026-03-09,526203,325776,696544,434148,09:30:00.002645,15:59:59.999522,3.779025542,1,0.0,1,73089
2026-03-10,417521,301683,552388,404800,09:30:00.000421,15:59:59.999990,3.346662166,1,0.0,1,53049
2026-03-11,340468,255312,467980,353958,09:30:00.000424,15:59:59.999741,5.463821704,2,0.0,1,41088
2026-03-12,395509,287029,542709,398515,09:30:00.001107,15:59:59.999519,4.020813732,1,0.0,1,52814
2026-03-13,390969,281689,539281,391804,09:30:00.007621,15:59:59.999517,3.72988064,1,0.0,1,54433
2026-03-16,189138,129013,249341,168953,09:30:00.000767,15:59:59.999521,9.748461612,1,0.0,1,31213
2026-03-17,57517,37733,77381,50944,09:30:00.007741,15:59:59.993403,26.62186119,1,0.0,1,8317
2026-03-18,314402,217482,438326,305571,09:30:00.000612,15:59:59.999523,5.546986314,0,0.0,2,36942
2026-03-19,430833,282441,586238,390876,09:30:00.000441,15:59:59.999512,4.01157336,1,0.0,1,54620
2026-03-20,410804,289889,579181,414257,09:30:00.000080,15:59:59.999516,3.73583876,1,0.0,1,50165
2026-03-23,499170,283581,672424,386713,09:30:00.001528,15:59:59.998633,3.812004458,3,0.0,1,70563
2026-03-24,391827,258880,538222,360765,09:30:00.000091,15:59:59.999514,5.618214512,1,0.0,1,56123
2026-03-25,364071,253444,515447,366024,09:30:00.002323,15:59:59.999833,7.09580212,1,0.0,1,51034
2026-03-26,378275,256301,538803,373867,09:30:00.000133,15:59:59.999513,3.914110882,1,0.0,1,48959
2026-03-27,386075,259304,550358,378574,09:30:00.000077,15:59:59.999514,5.51975125,1,0.0,1,51747
2026-03-30,386300,254904,549468,373850,09:30:00.002303,15:59:59.999513,4.49078687,1,0.0,1,49072
2026-03-31,521866,356137,735377,511373,09:30:00.000081,15:59:59.999511,2.958066378,1,0.0,1,71205
2026-04-01,393455,260788,563402,383088,09:30:00.001193,15:59:59.999512,4.650318864,1,0.0,1,49189
2026-04-02,408726,279364,567490,394408,09:30:00.000418,15:59:59.999517,4.191692948,1,0.0,1,56048
2026-04-03,30950,0,42430,0,,,,2,0.0,1,5689
2026-04-06,314493,207766,434240,293110,09:30:00.000090,15:59:59.997220,7.329099064,1,0.0,1,42718
2026-04-07,395136,279928,569404,409462,09:30:00.000447,15:59:59.999520,4.008111398,1,0.0,1,56156
2026-04-08,433535,267238,626765,397179,09:30:00.000080,15:59:59.999511,4.971960818,11,0.0,1,49442
2026-04-09,341463,252742,505801,385460,09:30:00.000083,15:59:59.999385,4.499421896,1,0.0,1,38282
2026-04-10,284381,208808,423912,319086,09:30:00.000083,15:59:59.999678,5.671201202,1,0.0,1,31368
2026-04-13,336318,230969,500858,354159,09:30:00.000458,15:59:59.999800,5.385751398,1,0.0,1,40085
2026-04-14,299714,223670,461316,353782,09:30:00.004034,15:59:59.999516,4.781754652,1,0.0,1,31796
2026-04-15,333030,247229,504256,382657,09:30:00.002672,15:59:59.999515,3.971035984,1,0.0,1,36777
2026-04-16,377964,294893,577541,460230,09:30:00.001273,15:59:59.999515,3.983016478,1,0.0,1,42095
2026-04-17,372785,273985,582463,437838,09:30:00.000103,15:59:59.999515,3.599759688,1,0.0,1,45652
2026-04-20,333864,230716,490577,348162,09:30:00.000079,15:59:59.999512,5.47629715,1,0.0,1,40361
2026-04-21,398410,315509,599674,483552,09:30:00.001736,15:59:59.999051,5.152956688,3,0.0,1,50127
2026-04-22,332289,234172,498627,357172,09:30:00.002757,15:59:59.999745,5.155588528,1,0.0,1,37379
2026-04-23,436494,322549,635289,478706,09:30:00.000547,15:59:59.999517,3.898559878,1,0.0,1,57808
2026-04-24,363147,250729,532415,371604,09:30:00.003638,15:59:59.999514,4.336458354,1,0.0,1,43930
2026-04-27,304148,211002,434646,305992,09:30:00.000085,15:59:59.999513,6.454905512,1,0.0,1,31865
2026-04-28,406603,276163,591663,411369,09:30:00.000102,15:59:59.999516,5.575603288,1,0.0,1,47432
2026-04-29,346250,236270,511472,355893,09:30:00.000099,15:59:59.999662,6.245766198,1,0.0,1,41788
2026-04-30,463878,301806,688492,461140,09:30:00.001549,15:59:59.999514,4.006482986,1,0.0,1,53629
2026-05-01,338436,264440,499576,395021,09:30:00.000080,15:59:59.999851,4.107912394,1,0.0,1,34698
2026-05-04,382929,263671,563422,394170,09:30:00.002405,15:59:59.999518,5.855036238,1,0.0,1,52394
2026-05-05,301154,215221,443187,321567,09:30:00.003027,15:59:59.999518,5.127794944,1,0.0,1,32196
2026-05-06,426367,257953,620719,383493,09:30:00.001685,15:59:59.999515,5.687751628,3,0.0,1,46578
2026-05-07,442686,349280,648101,519577,09:30:00.000093,15:59:59.999518,3.733084436,1,0.0,1,48306
2026-05-08,353425,255594,527654,390224,09:30:00.000084,15:59:59.999315,5.89491695,1,0.0,1,34314
2026-05-11,368530,251133,539212,373886,09:30:00.001080,15:59:59.999519,3.85417775,1,0.0,1,42257
2026-05-12,490228,367769,703198,533893,09:30:00.000083,15:59:59.999954,4.695771046,1,0.0,1,59720
2026-05-13,387025,272946,559962,402032,09:30:00.000844,15:59:59.999525,4.442946328,1,0.0,1,41784
2026-05-14,399031,287876,601457,443602,09:30:00.000067,15:59:59.999615,4.4524506,1,0.0,1,49076
2026-05-15,524833,338611,739183,482570,09:30:00.000314,15:59:59.999523,3.539345838,1,0.0,1,62625
2026-05-18,606767,411414,838221,570604,09:30:00.000503,15:59:59.999521,4.161472588,1,0.0,1,76461
2026-05-19,513984,374092,705989,520063,09:30:00.000085,15:59:59.999521,5.111788768,1,0.0,1,62834
2026-05-20,429800,303409,594556,425285,09:30:00.002808,15:59:59.999520,4.478818284,1,0.0,1,59153
2026-05-21,435117,321423,603451,450763,09:30:00.002179,15:59:59.999522,3.54704064,1,0.0,1,59924
2026-05-22,341143,243888,482942,351461,09:30:00.001912,15:59:59.999522,4.899640808,1,0.0,1,42973
2026-05-25,86983,27298,125160,42324,09:30:00.003508,12:59:58.895488,29.138640972,1,0.0,1,15143
2026-05-26,356626,269484,532832,411044,09:30:00.001329,15:59:59.999525,5.372780648,1,0.0,1,37306
2026-05-27,427623,314668,625014,466861,09:30:00.003056,15:59:59.999300,4.013170934,1,0.0,1,51632
2026-05-28,376839,255674,546308,384261,09:30:00.000073,15:59:59.999523,4.446607142,1,0.0,1,44403
2026-05-29,386042,299066,564469,446062,09:30:00.000087,15:59:59.999995,5.333384208,1,0.0,1,45562
