Ticker,Last,pTrans,nTrans,+GEX,ZeroGEX,COTMP,COTMC,Grade,DB,Prior DB,DB Chg,Spike-Crash,Minervini,OI Depth
AAPL,232,228,219,245,224,222,248,10,0.82,0.22,0.60,,88,7.5
NVDA,172,170,163,181,168,170,186,11 DEEP,0.71,0.36,0.35,,112,9.1
MSFT,512,505,490,530,500,498,538,9,1.00,1.00,0.00,,95,8.2
TSLA,249,250,238,268,246,243,275,9,0.66,0.11,0.55,,102,6.8
META,655,640,615,690,632,628,700,8,0.90,0.10,0.80,,110,7.9
AMD,128,126,120,138,124,123,141,11,0.95,-0.45,1.40,Y,118,8.5
PLTR,158,150,141,166,148,149,172,10,0.78,0.08,0.70,,125,7.1
AVGO,242,238,228,258,235,233,262,10,0.55,0.35,0.20,,98,8.8
COIN,301,298,284,315,295,299,320,9,0.74,0.14,0.60,,90,5.9
CRWD,470,480,445,505,462,455,512,10,0.85,0.05,0.80,,108,7.3
GEV,610,600,580,645,595,588,660,10,0.80,0.15,0.65,,135,6.4
