time,side,level,price,volume
2026-09-08 23:59:54.336,B,0,29495.00,45
2026-09-08 23:59:54.336,B,1,29490.00,43
2026-09-08 23:59:54.336,B,2,29485.00,70
2026-09-08 23:59:54.336,B,3,29480.00,62
2026-09-08 23:59:54.336,B,4,29475.00,74
2026-09-08 23:59:54.336,B,5,29470.00,36
2026-09-08 23:59:54.336,B,6,29465.00,44
2026-09-08 23:59:54.336,B,7,29460.00,448
2026-09-08 23:59:54.336,B,8,29455.00,22
2026-09-08 23:59:54.336,B,9,29450.00,28
2026-09-08 23:59:54.336,A,0,29505.00,70
2026-09-08 23:59:54.336,A,1,29510.00,73
2026-09-08 23:59:54.336,A,2,29515.00,60
2026-09-08 23:59:54.336,A,3,29520.00,77
2026-09-08 23:59:54.336,A,4,29525.00,64
2026-09-08 23:59:54.336,A,5,29530.00,57
2026-09-08 23:59:54.336,A,6,29535.00,48
2026-09-08 23:59:54.336,A,7,29540.00,47
2026-09-08 23:59:54.336,A,8,29545.00,58
2026-09-08 23:59:54.336,A,9,29550.00,43
2026-09-08 23:59:59.485,B,0,29495.00,45
2026-09-08 23:59:59.485,B,1,29490.00,43
2026-09-08 23:59:59.485,B,2,29485.00,70
2026-09-08 23:59:59.485,B,3,29480.00,62
2026-09-08 23:59:59.485,B,4,29475.00,74
2026-09-08 23:59:59.485,B,5,29470.00,36
2026-09-08 23:59:59.485,B,6,29465.00,44
2026-09-08 23:59:59.485,B,7,29460.00,448
2026-09-08 23:59:59.485,B,8,29455.00,22
2026-09-08 23:59:59.485,B,9,29450.00,28
2026-09-08 23:59:59.485,A,0,29505.00,70
2026-09-08 23:59:59.485,A,1,29510.00,73
2026-09-08 23:59:59.485,A,2,29515.00,60
2026-09-08 23:59:59.485,A,3,29520.00,77
2026-09-08 23:59:59.485,A,4,29525.00,64
2026-09-08 23:59:59.485,A,5,29530.00,57
2026-09-08 23:59:59.485,A,6,29535.00,48
2026-09-08 23:59:59.485,A,7,29540.00,47
2026-09-08 23:59:59.485,A,8,29545.00,58
2026-09-08 23:59:59.485,A,9,29550.00,43
