c,n1,n2,per_mo,long,short,risk50,cost50,cost75,cost90
0.5,10,8,0.13432835820895522,16,2,296.20253173832174,0.22507735499108486,0.27500336172120105,0.3035141257000632
0.52,12,10,0.16417910447761194,19,3,280.29575148541926,0.23847000643535698,0.29098405826040785,0.3425798830409358
0.54,16,15,0.23134328358208955,26,5,265.9347692992697,0.25068804219294594,0.29784030922702204,0.3601758352172826
0.56,19,18,0.27611940298507465,28,9,255.68960789690283,0.26073279714030256,0.3008297033810425,0.36641247787455616
0.58,21,20,0.30597014925373134,30,11,255.68960789690283,0.26073279714030256,0.30977777777777826,0.3601758352172826
0.6,29,26,0.41044776119402987,40,15,255.68960789690283,0.26073279714030256,0.31941975308642073,0.35151126812719746
0.62,35,33,0.5074626865671642,49,19,267.1530166759576,0.24955006622205858,0.3222654320987652,0.35440246002107484
0.64,43,42,0.6343283582089553,59,26,265.9347692992697,0.25068804219294594,0.30977777777777826,0.3568767636765925
0.66,50,50,0.746268656716418,67,33,267.1530166759576,0.24955006622205858,0.3035980383747678,0.35099015782924775
0.68,55,59,0.8507462686567164,76,38,267.1530166759576,0.24955006622205858,0.3065868937742251,0.35317678485980475
0.7,67,71,1.0298507462686568,89,49,268.6219486512598,0.24818048213106292,0.30178513385153993,0.3481144343984942
0.72,81,86,1.2462686567164178,103,64,285.7018232574383,0.23334351145038063,0.2920585524384339,0.34581688804319
0.74,93,97,1.4179104477611941,118,72,286.7809264160215,0.23246592940425564,0.2941918775799192,0.3432862471209904
0.76,99,104,1.5149253731343284,121,82,283.0156741934396,0.23555821371610808,0.29561749643045443,0.3451370248526332
0.78,111,117,1.7014925373134329,138,90,280.19029676788955,0.2379351520572454,0.295234205751728,0.34324957082990315
0.8,120,126,1.835820895522388,147,99,285.676180282717,0.2333644588003205,0.29248684217430854,0.343401384515049
0.82,134,137,2.0223880597014925,161,110,285.65053730799565,0.23338540615026038,0.29239614981642975,0.3430218503021843
0.84,139,143,2.1044776119402986,167,115,283.70137154455483,0.23499024962475268,0.292136658769553,0.3421227800226465
0.86,148,150,2.2238805970149254,178,120,285.676180282717,0.2333644588003205,0.292136658769553,0.34253487367472707
0.88,153,154,2.291044776119403,184,123,285.65053730799565,0.23338540615026038,0.2918689277562349,0.3411058331067948
0.9,160,163,2.41044776119403,198,125,286.3111329564996,0.23284692417739694,0.2918689277562349,0.34129761248780927
0.92,169,175,2.5671641791044775,210,134,286.3473980748649,0.2328174384826749,0.28962610722610765,0.33877442914726613
0.94,177,185,2.701492537313433,223,139,286.60624723920375,0.2326073053817863,0.2891753291753297,0.33976999041792844
0.96,185,193,2.8208955223880596,233,145,288.1689774801696,0.23134575022271675,0.2874963290734387,0.33509418217611664
0.98,191,199,2.91044776119403,240,150,289.6189314906905,0.23019294835749485,0.2861149404814909,0.3342369730235383
1.0,200,208,3.044776119402985,258,150,292.73346293995456,0.22773846959496666,0.28586678444291,0.33368975809410534
1.02,212,219,3.216417910447761,276,155,297.56977294228943,0.22403709223381357,0.28314354337101655,0.33094883258817787
1.04,215,223,3.2686567164179103,283,155,295.99506406226624,0.22522900987239924,0.28187810057297613,0.3305328767268068
1.06,221,230,3.3656716417910446,290,161,298.33887043189463,0.2234595397178909,0.2793341340225511,0.32990817263544575
1.08,229,236,3.470149253731343,297,168,302.2552894675646,0.22056410256410341,0.27750105351875376,0.3297134623432139
1.1,235,241,3.5522388059701493,300,176,302.7991622803197,0.22016803690460723,0.27571587210904563,0.32935999585019143
1.12,239,245,3.611940298507463,304,180,304.7174481899081,0.21878202759300308,0.2740803013750888,0.32844669694066136
1.14,244,253,3.708955223880597,311,186,306.63027773318294,0.21741710296684158,0.273694929343309,0.32657429922427
1.16,248,257,3.7686567164179103,315,190,309.2478713339634,0.21557680050987932,0.2726132570338597,0.325813982720545
1.18,255,264,3.873134328358209,323,196,310.76162351486886,0.21452670349907896,0.2700377552352657,0.32489284650214123
1.2,260,269,3.9477611940298507,330,199,310.870126516911,0.2144518272425256,0.2704346204066405,0.32437999228602965
1.22,265,274,4.022388059701493,338,201,312.3195777087388,0.2134565727699539,0.26924488758127174,0.32425357196921045
1.24,274,284,4.164179104477612,352,206,314.12832886172384,0.2122279398922926,0.2663435330211173,0.3236475994969669
1.26,276,286,4.1940298507462686,354,208,314.12832886172384,0.2122279398922926,0.2667272348757266,0.3232787698412698
1.28,279,292,4.2611940298507465,359,212,314.78102189780986,0.21178743961352683,0.26620752711737006,0.32153769841269986
1.3,285,297,4.343283582089552,368,214,315.42734058117736,0.2113535058937906,0.2653202679946985,0.3199467376830885
