family,variant,n,mean,median,pf,yp,ny,hc,ex1,k1,exs,ks,old,new,note
qqq_screen,OR15 SATR0.5 R1.0,2175,-0.09742413422158279,0.5913982074974924,0.8214620782147863,0,6,-0.15154697618010868,-233.39624997403115,22,-0.21476416009157714,218,False,False,
qqq_screen,OR15 SATR0.5 R2.0,2161,-0.06758272331858499,-1.0606646115008462,0.9059633839444796,1,6,-0.12213892461715473,-189.44411432758614,22,-0.2926939755362607,217,False,False,
qqq_screen,OR15 SATR0.5 R3.0,2141,-0.08633738100267123,-1.0734060707373758,0.8940975370166687,2,6,-0.14113317175515297,-250.1921509588085,22,-0.4244092361265814,215,False,False,
qqq_screen,OR15 SATR0.5 R4.0,2138,-0.08883149976802551,-1.078424954436131,0.8971108267500862,2,6,-0.14380844395706352,-277.19168295430325,22,-0.5359629178478299,214,False,False,
qqq_screen,OR15 SATR1.0 R1.0,2151,-0.02378692602437143,0.8466379360611213,0.9530615566304846,1,6,-0.057212320133032284,-72.81973531274585,22,-0.1348242923496111,216,False,False,
qqq_screen,OR15 SATR1.0 R2.0,2107,-0.07109004103556335,-1.0410905263157855,0.8980677454085028,2,6,-0.10505601866321171,-193.37088567895384,22,-0.2975859503443893,211,False,False,
qqq_screen,OR15 SATR1.0 R3.0,2086,-0.05908707150199548,-1.046205516842903,0.9222494701084244,3,6,-0.09316367045904997,-185.79444203725745,21,-0.39492966426795195,209,False,False,
qqq_screen,OR15 SATR1.0 R4.0,2072,-0.049067228765104116,-1.0477395036377195,0.9371277560226807,3,6,-0.08339313865514596,-185.06384911840246,21,-0.49457891455615804,208,False,False,
qqq_screen,OR30 SATR0.5 R1.0,1513,-0.09549012737183551,0.6395477996110192,0.8239775841270184,1,6,-0.15661125450457328,-160.07649032301427,16,-0.21234953195601497,152,False,False,
qqq_screen,OR30 SATR0.5 R2.0,1493,-0.12659131778765406,-1.0713045636972933,0.829724451704833,1,6,-0.18748366464094038,-218.53778535313774,15,-0.35771190481354476,150,False,False,
qqq_screen,OR30 SATR0.5 R3.0,1483,-0.1537990184719781,-1.0822046770936011,0.8164546634544271,0,6,-0.21504193172432587,-272.57881770191807,15,-0.4985121463289773,149,False,False,
qqq_screen,OR30 SATR0.5 R4.0,1464,-0.09391532014200538,-1.086078112927729,0.8921340560323355,2,6,-0.15555246703108,-196.89831874632037,15,-0.5421117049199025,147,False,False,
qqq_screen,OR30 SATR1.0 R1.0,1504,-0.05119673814147755,0.7923081910445718,0.9016262984569889,1,6,-0.08837929556724948,-92.70866131652969,16,-0.1647992244481022,151,False,False,
qqq_screen,OR30 SATR1.0 R2.0,1467,-0.061210279443776064,-1.0446256239600646,0.9121644694063044,2,6,-0.09843846896256454,-119.44500845843652,15,-0.28625429527123075,147,False,False,
qqq_screen,OR30 SATR1.0 R3.0,1437,-0.05122887587708174,-1.05040364479258,0.9327942265951815,1,6,-0.08894396734876601,-118.20311281854774,15,-0.38569902941549866,144,False,False,
qqq_screen,OR30 SATR1.0 R4.0,1425,-0.03576831294598583,-1.0529484623485734,0.9545177181277466,3,6,-0.0736672889313745,-110.51796561953363,15,-0.47926597787368463,143,False,False,
orb_vwap,OR15 SATR0.5 R1.0,2740,-0.26420315780712494,-1.0426713692507494,0.6046920664115356,0,6,-0.3234078764200933,-751.1662638600131,28,-0.3983820338620983,274,False,False,
orb_vwap,OR15 SATR0.5 R2.0,2734,-0.14380438577836002,-1.0741953117382728,0.8194611293967224,0,6,-0.20430292930938948,-448.25083491387215,28,-0.375139811045076,274,False,False,
orb_vwap,OR15 SATR0.5 R3.0,2720,-0.10182873298983171,-1.0903026913335194,0.8854365250396403,0,6,-0.16394484028123335,-359.9332052205468,28,-0.4378898552733195,272,False,False,
orb_vwap,OR15 SATR0.5 R4.0,2710,-0.09164679007093629,-1.1027246024684412,0.9037706194935956,0,6,-0.15508077399629938,-359.2072113034323,28,-0.5367323798848598,271,False,False,
orb_vwap,OR15 SATR1.0 R1.0,2706,-0.09817979155288278,-1.0202161178656226,0.8220955753128969,0,6,-0.12954140666882827,-293.1756892692477,28,-0.21689820692302253,271,False,False,
orb_vwap,OR15 SATR1.0 R2.0,2660,-0.0549033104161726,-1.0417136618326275,0.9227194709722871,0,6,-0.08787795220274532,-199.50605191566274,27,-0.2790946392896215,266,False,False,
orb_vwap,OR15 SATR1.0 R3.0,2638,-0.018653079529132078,-1.0481517113728862,0.9763623016589373,2,6,-0.05252453952816401,-129.5431206944765,27,-0.3495614221249437,264,False,False,
orb_vwap,OR15 SATR1.0 R4.0,2619,0.011714019746490209,-1.0527718286055618,1.013980286195326,4,6,-0.02259127307690409,-76.61970254504834,27,-0.4264121493851401,262,False,False,
orb_vwap,OR30 SATR0.5 R1.0,2693,-0.3584906497510781,-1.0520690200392053,0.5142838133883751,0,6,-0.430024720260515,-991.5333668990055,27,-0.5024315514754842,270,False,False,
orb_vwap,OR30 SATR0.5 R2.0,2684,-0.23999705264527402,-1.0909302169341335,0.7226521822755907,1,6,-0.3130943595281847,-697.1744628570158,27,-0.4809048258825627,269,False,False,
orb_vwap,OR30 SATR0.5 R3.0,2677,-0.17933379806265434,-1.1092970462259646,0.8106927317252671,1,6,-0.25401575367961454,-559.8762002636859,27,-0.5231184215220568,268,False,False,
orb_vwap,OR30 SATR0.5 R4.0,2668,-0.1528716931789046,-1.1223248033420097,0.8479950693603807,1,6,-0.22933864700369005,-514.5755595705027,27,-0.6039153460368724,267,False,False,
orb_vwap,OR30 SATR1.0 R1.0,2666,-0.17646781508959095,-1.030580040745001,0.7056935006433513,0,6,-0.2140664804006089,-496.91222379413233,27,-0.30335276878674716,267,False,False,
orb_vwap,OR30 SATR1.0 R2.0,2630,-0.10667218424554986,-1.0496067422499533,0.8557345750324117,1,6,-0.14605331953737535,-333.81872147917284,27,-0.33584278050561167,263,False,False,
orb_vwap,OR30 SATR1.0 R3.0,2600,-0.07733842514348721,-1.0597317254735048,0.9058179555849438,1,6,-0.11774888329407877,-278.2957453074054,26,-0.413738599692665,260,False,False,
orb_vwap,OR30 SATR1.0 R4.0,2578,-0.08924721060444485,-1.064022500276168,0.8984618050020902,1,6,-0.13027821669644823,-333.2612586094517,26,-0.5379031077177387,258,False,False,
or_height,OR15 R3.0,2656,-0.025748695001193513,-1.0492761335159009,0.9675722047540734,2,6,-0.059788904284481845,-148.70309484650727,27,-0.35768917136360556,266,False,False,
or_height,OR15 R4.0,2637,-0.000565079878213845,-1.0534010438707844,0.9993304487230686,3,6,-0.03516760434297928,-108.75189980987332,27,-0.44034359179886357,264,False,False,
or_height,OR30 R3.0,2611,-0.09255256821906335,-1.0601800224910465,0.8880401524523551,1,6,-0.1329767125512929,-321.8407277606325,27,-0.4319193107568066,262,False,False,
or_height,OR30 R4.0,2590,-0.10597453486724143,-1.0643324314607345,0.8801073494386322,1,6,-0.147007059480678,-377.6559949773482,26,-0.5560624377373059,259,False,False,
disc_pullback,T1 P1 f0.33,1165,-0.04618668030192099,-0.003018808742565796,0.8926875389493938,2,6,-0.06121434877588477,-104.33739822017603,12,-0.29695856983011476,117,False,False,
disc_pullback,T1 P1 f0.50,835,-0.06930637857288867,-0.0867256506977156,0.8430665713590956,0,6,-0.08481567246037532,-99.2555513816016,9,-0.3210640743892261,84,False,False,
disc_pullback,T1 P2 f0.33,1109,-0.014036065672639726,-0.27271910774410857,0.971275061629588,4,6,-0.02858264538639247,-51.352050137797775,12,-0.329476639722569,111,False,False,
disc_pullback,T1 P2 f0.50,801,-0.021458379890973323,-0.25552937631156797,0.9560206185521494,3,6,-0.03667461862667443,-44.00657264182547,9,-0.33377233370472154,81,False,False,
disc_pullback,T2 P1 f0.33,1994,-0.05551736556100939,-0.08614960083272875,0.8828565486754321,0,6,-0.07375986760958422,-217.4357875629958,20,-0.3442857030644401,200,False,False,
disc_pullback,T2 P1 f0.50,1259,-0.05780100635952978,-0.09566781609199823,0.876740568839549,0,6,-0.07622878680370195,-139.4255188938784,13,-0.34321511951241895,126,False,False,
disc_pullback,T2 P2 f0.33,1886,-0.014926575214414891,-0.6048250034311597,0.9727191382865219,3,6,-0.03285405390909802,-84.78519890194563,19,-0.34561811554797567,189,False,False,
disc_pullback,T2 P2 f0.50,1210,-0.0005079727537606371,-0.47018600351451234,0.9990433218762961,3,6,-0.018669875727830833,-39.338372726859724,13,-0.3280957232932649,121,False,False,
reopen_study,IB re-entry 1.0R,736,0.06282545137809037,0.1332965444035597,1.2241807510881924,5,6,0.058513003900130006,38.27097361869737,8,-0.041212575346987176,74,True,False,
