zone,rej,exit,qual,reached,n,win,avg_w,avg_l,exp,pf,dd,streak,per_mo,risk_nq,cost_pct,years,yp,mae,mfe,tgt,stop,close,amb,naive,long_n,long_R,short_n,short_R
C_retest,R1,1.5R,762,627,366,37.978142076502735,1.4257521932494381,-1.0431890843597194,-0.10553105816389176,0.8368930424067285,47.19234920029662,12,5.462686567164179,26.087399999999196,4.369272214574304,2/6,2,-1.0449220979095761,0.8696683834185213,133,225,8,0.0,-0.10291428613175542,226,-0.05882359148968324,140,-0.18093025436654256
C_retest,R1,2R,762,627,366,33.60655737704918,1.8973395485057538,-1.0392933131940105,-0.0523921055735979,0.924071900186697,37.743492552249535,12,5.462686567164179,26.087399999999196,4.369272214574304,3/6,3,-1.0538507558513575,0.8696683834185213,117,240,9,0.0,-0.05028471355807757,226,0.013958960050348003,140,-0.15950168293796776
C_retest,R2,1.5R,762,628,379,36.41160949868074,1.4293915920529938,-1.0618097853985724,-0.1547232680151526,0.7708440838985274,70.91189127041967,14,5.656716417910448,24.74612500000042,4.524539916063277,2/6,2,-1.0479022972957912,0.8659913683152214,133,241,5,0.0,-0.15312219055216997,232,-0.16090972147497384,147,-0.14495961357516274
C_retest,R2,2R,762,628,379,31.662269129287598,1.9054274870709196,-1.0535546166650847,-0.11667373949273503,0.8379475844619511,67.9911199604236,14,5.656716417910448,24.74612500000042,4.524539916063277,2/6,2,-1.069340460168862,0.8659913683152214,115,257,7,0.0,-0.11323577441257753,232,-0.11371637385407737,147,-0.12134114648707908
A_vwap,R1,IBbound,762,584,245,37.55102040816327,1.933507979998823,-1.0700881255591792,0.05779286101770336,1.0864827126303438,16.244238750866415,10,3.656716417910448,18.65880000000126,5.937467497575034,3/6,3,-1.1106797858415096,1.0564462155572094,92,153,0,0.0,0.06719142565888196,126,-0.25007233506856597,119,0.3837677745208121
A_vwap,R1,1.5R,762,584,317,42.586750788643535,1.4419867829880213,-1.0652690700842231,0.002489731697332154,1.0040708125537259,28.306678384749763,10,4.731343283582089,19.277849999998352,5.845098534550193,2/6,2,-1.0603413470361387,1.0564462155572094,135,181,1,0.0,0.007689119860062887,168,-0.15492519964631168,149,0.17997770797741383
A_vwap,R1,2R,762,584,317,35.01577287066246,1.9213961350907445,-1.0637648068546868,-0.018487631599346518,0.9732559175755767,27.80667838474831,13,4.731343283582089,19.277849999998352,5.845098534550193,2/6,2,-1.1036205856907553,1.0564462155572094,109,205,3,0.0,-0.01010740610245012,168,-0.15756735842985256,149,0.13832709395451268
A_vwap,R2,IBbound,762,553,162,42.592592592592595,1.3397679655448074,-1.0581599493095317,-0.036820281871572214,0.9393867103361127,18.25546040134674,7,2.417910447761194,21.96039999999826,5.436831606280439,3/6,3,-1.05946588966601,1.019995064842996,69,93,0,0.0,-0.03258225828463234,81,-0.11277517450300817,81,0.039134610759863735
A_vwap,R2,1.5R,762,553,284,44.014084507042256,1.444830592018612,-1.0531795189116562,0.04629676230765185,1.0785180366084877,17.718087964355032,9,4.2388059701492535,23.198499999999477,4.943680265527496,3/6,3,-1.0421274789969255,1.056413905573844,124,159,1,0.0,0.048201606129130284,149,-0.016013778995482404,135,0.11506913752370379
A_vwap,R2,2R,762,553,284,38.028169014084504,1.940100187991503,-1.0533098852710707,0.08502915667385162,1.1302618926271166,17.211405933802663,11,4.2388059701492535,23.198499999999477,4.943680265527496,3/6,3,-1.0668916574003218,1.056413905573844,107,176,1,0.0,0.08904125000402771,149,0.04774461026626339,135,0.1261802486348194
B_mid,R1,IBbound,762,356,182,31.86813186813187,2.429876426532385,-1.0764131502563956,0.0409758357532157,1.0558725545690042,19.118626481524984,8,2.716417910447761,19.546105000000217,5.695334840923593,3/6,3,-1.160197245801763,1.1210520071864818,58,124,0,0.0,0.044904214036120264,110,0.10919205761600663,72,-0.06324339209271475
B_mid,R1,1.5R,762,356,186,45.16129032258065,1.4409405406338598,-1.077833395296143,0.05967741447869691,1.1009650665816275,13.391918268286284,6,2.7761194029850746,19.75245499999886,5.642009716859295,4/6,4,-1.0597574346409138,1.1584526571990899,84,102,0,0.0,0.0617683654716994,111,0.08158590096617337,75,0.027252854477231723
B_mid,R1,2R,762,356,186,39.24731182795699,1.9298708590304805,-1.075316019031484,0.10413904601434065,1.1594086853304302,13.926682404683868,10,2.7761194029850746,19.75245499999886,5.642009716859295,5/6,5,-1.0910263032662413,1.1584526571990899,71,113,2,0.0,0.10448643203040114,111,0.11554863489076385,75,0.08725285447723446
B_mid,R2,IBbound,762,330,160,41.25,1.852520295677154,-1.05396403812834,0.14496074956642618,1.2341082735876197,8.882854043699856,5,2.388059701492537,22.992149999998492,4.599783244053077,5/6,5,-1.067322101369954,1.1928829946641895,65,94,1,0.0,0.14535163102491644,93,0.041944834781864185,67,0.2879529894912659
B_mid,R2,1.5R,762,330,175,48.0,1.449270845278279,-1.0501911396018775,0.14955061314059756,1.2738523704091758,8.371992320592517,5,2.611940298507463,23.611199999999105,4.549783342040054,5/6,5,-1.0266095132344493,1.3758837272036815,84,91,0,0.0,0.14924813728760217,102,0.15153078319829785,73,0.14678380018326284
B_mid,R2,2R,762,330,175,37.142857142857146,1.8926761824903335,-1.0503266528659247,0.042788685980685526,1.0648111797686777,12.959777099893376,6,2.611940298507463,23.611199999999105,4.549783342040054,4/6,4,-1.073976815708613,1.3758837272036815,60,110,5,0.0,0.040550366025365804,102,0.06149806503178411,73,0.01664681388189018
