cond,out,n,rho,p,spread,years,passed
on_range,rv,1375,0.2965596397610717,9.999000099990002e-05,34.973129644782006,6/6,True
on_disp,rv,1395,-0.17812102783964176,9.999000099990002e-05,-22.227658920063334,5/6,True
prior_loc,rv,1395,-0.19835192409119243,9.999000099990002e-05,-31.576512850617704,6/6,True
vix_lvl,rv,1229,0.695590610317125,9.999000099990002e-05,111.60204212326725,6/6,True
vix_chg,rv,1228,0.10814825902964648,0.00019998000199980003,30.30732693923423,6/6,True
fomc,rv,1395,0.12582591905544566,9.999000099990002e-05,36.73128358996324,6/6,True
on_range,range,1375,0.24950012463417562,9.999000099990002e-05,59.427621523765865,6/6,True
on_disp,range,1395,-0.09347810359079706,0.0004999500049995,-24.66685198083468,3/6,False
prior_loc,range,1395,-0.14656575547606301,9.999000099990002e-05,-38.29033142332278,6/6,True
vix_lvl,range,1229,0.5900569711495984,9.999000099990002e-05,183.07570695680096,6/6,True
vix_chg,range,1228,0.04881778312919371,0.0872912708729127,30.356060865620776,6/6,False
fomc,range,1395,0.08399598141899468,0.0016998300169983002,54.94648326454296,5/6,False
on_range,eff_full,1375,-0.016214961715219967,0.5475452454754525,-0.005423939430930773,4/6,False
on_disp,eff_full,1395,0.072468825854694,0.007399260073992601,0.008277206829474748,5/6,False
prior_loc,eff_full,1395,0.021242037203499868,0.4256574342565743,0.005089876252220744,5/6,False
vix_lvl,eff_full,1229,0.07634012362333338,0.0086991300869913,0.003926784177204566,5/6,False
vix_chg,eff_full,1228,-0.06901167900302177,0.0163983601639836,-0.007571866202793445,5/6,False
fomc,eff_full,1395,0.021561718618896577,0.4236576342365763,0.003823435201882018,5/6,False
on_range,eff_post,1375,-0.010896329766906777,0.6852314768523148,0.004937338526488526,4/6,False
on_disp,eff_post,1395,0.0355961133752651,0.1862813718628137,0.002755709104685221,4/6,False
prior_loc,eff_post,1395,0.06857587666577793,0.011398860113988602,0.00834690144741275,6/6,False
vix_lvl,eff_post,1229,0.04882097125597747,0.08659134086591341,0.0036807315436540103,4/6,False
vix_chg,eff_post,1228,-0.07082318122152166,0.012798720127987202,-0.007997128712100066,5/6,False
fomc,eff_post,1395,0.012364632216977065,0.6451354864513549,0.005272288970502671,4/6,False
on_range,ret,1375,-0.037216247261759754,0.1673832616738326,-9.367671029077945,5/6,False
on_disp,ret,1395,0.008400835779682479,0.7523247675232477,-17.151421530094815,3/6,False
prior_loc,ret,1395,0.008528591141442656,0.7554244575542446,-10.794783101514582,4/6,False
vix_lvl,ret,1229,0.040725669306580864,0.15828417158284172,10.614067521942134,5/6,False
vix_chg,ret,1228,-0.016882776866682075,0.5542445755424458,23.56842421799549,4/6,False
fomc,ret,1395,0.0014666450027527348,0.9555044495550445,-1.9913492757360163,4/6,False
