pred,or_min,n,rho,p,pearson,spread,passes
or_ratio,15,1398,-0.006955311031756255,0.7949577645027719,0.0049570984098664134,-0.0018298731037688643,False
rv_open,15,1398,-0.025220072198946446,0.34588580623703263,-0.012820888838818364,0.00536487356500448,False
eff_open,15,1418,0.03459273360290397,0.1927467643473668,0.03963306728929109,0.0024529633509173115,False
gap,15,1397,-0.02307788511605925,0.3885875478861899,-0.011899981736035884,0.0006647295283040283,False
prior_range,15,1397,-0.04185124859563522,0.11769966178528343,-0.01964411903414834,-0.005019406056857995,False
or_pos,15,1418,0.02930107406106819,0.2699983051092192,0.021536323948391056,0.0042868003669322,False
vol_ratio,15,1398,0.014507080948994541,0.5877590418150689,0.0050634112970550284,-0.0013898497358354606,False
or_ratio,30,1398,-0.0019178595132457808,0.9428746569700787,-0.00629476947785398,0.003779047231542515,False
rv_open,30,1398,-0.016272338997896766,0.5431441861762017,-0.0066450021681415845,-0.004797906549794312,False
eff_open,30,1418,-0.0009567764489925629,0.9712797281165041,0.006730379093418287,0.002495768235968185,False
gap,30,1397,-0.024329893722316802,0.36335895399358953,-0.01442429518419125,-0.004523499255079208,False
prior_range,30,1397,-0.04085104901855986,0.12674880636531694,-0.0335831612096036,-0.0029099759062187758,False
or_pos,30,1418,-0.023992915911460175,0.36646856951822493,-0.027736187782901153,-0.004954056523743228,False
vol_ratio,30,1398,0.0097705280621362,0.7150558096125185,-0.005336325529125363,-0.002478973580933616,False
