day,tape_step,tape_file,tape_rows,depth_step,depth_file,depth_rows,cum_step,cum_file,cum_rows,bbo_step,bbo_file,rth_rows,full,aggressor,aggressor_nulls,tape_step_check,status,version,ticksize
20260821,5.0,TAPE_NQ_20260821.csv.gz,434505,1.0,L2_NQ_20260821_run2.csv.gz,1264064,5.0,CUM_NQ_20260821.csv.gz,195609,,,336224,True,BS,0,5.0,MISSING,,
20260824,5.0,TAPE_NQ_20260824.csv.gz,471765,5.0,L2_NQ_20260824.csv.gz,699081,5.0,CUM_NQ_20260824.csv.gz,201150,,,350623,True,BS,0,5.0,MISSING,,
20260825,5.0,TAPE_NQ_20260825.csv.gz,442561,5.0,L2_NQ_20260825.csv.gz,659270,5.0,CUM_NQ_20260825.csv.gz,184085,,,321774,True,BS,0,5.0,MISSING,,
20260826,5.0,TAPE_NQ_20260826.csv.gz,424189,5.0,L2_NQ_20260826.csv.gz,631212,5.0,CUM_NQ_20260826.csv.gz,166093,,,285368,True,BS,0,5.0,MISSING,,
20260827,5.0,TAPE_NQ_20260827_run2.csv.gz,502232,5.0,L2_NQ_20260827_run2.csv.gz,775298,5.0,CUM_NQ_20260827.csv.gz,215830,,,370523,True,BS,0,5.0,MISSING,,
20260828,5.0,TAPE_NQ_20260828_run2.csv.gz,514585,5.0,L2_NQ_20260828_run2.csv.gz,854267,5.0,CUM_NQ_20260828.csv.gz,257032,,,430398,True,BS,0,5.0,MISSING,,
20260831,5.0,TAPE_NQ_20260831.csv.gz,409146,5.0,L2_NQ_20260831.csv.gz,699085,5.0,CUM_NQ_20260831.csv.gz,171100,,,302776,True,BS,0,5.0,MISSING,,
20260901,5.0,TAPE_NQ_20260901.csv.gz,499630,0.25,L2_NQ_20260901_run2.csv.gz,2236396,0.25,CUM_NQ_20260901_run2.csv.gz,208890,,,361273,True,BS,0,5.0,MISSING,,
20260902,5.0,TAPE_NQ_20260902.csv.gz,409116,5.0,L2_NQ_20260902.csv.gz,695921,5.0,CUM_NQ_20260902.csv.gz,167321,,,287008,True,BS,0,5.0,MISSING,,
20260903,5.0,TAPE_NQ_20260903.csv.gz,488864,5.0,L2_NQ_20260903.csv.gz,725596,5.0,CUM_NQ_20260903.csv.gz,210657,,,361127,True,BS,0,5.0,MISSING,,
20260904,5.0,TAPE_NQ_20260904.csv.gz,424885,5.0,L2_NQ_20260904.csv.gz,710973,5.0,CUM_NQ_20260904.csv.gz,186468,,,322014,True,BS,0,5.0,MISSING,,
20260907,5.0,TAPE_NQ_20260907.csv.gz,84777,5.0,L2_NQ_20260907.csv.gz,140867,5.0,CUM_NQ_20260907.csv.gz,13479,,,23259,False,BS,0,5.0,MISSING,,
20260908,5.0,TAPE_NQ_20260908.csv.gz,468541,5.0,L2_NQ_20260908.csv.gz,727510,5.0,CUM_NQ_20260908.csv.gz,195640,,,329879,True,BS,0,5.0,MISSING,,
20260909,5.0,TAPE_NQ_20260909.csv.gz,449757,5.0,L2_NQ_20260909.csv.gz,736850,5.0,CUM_NQ_20260909.csv.gz,183257,,,318586,True,BS,0,5.0,MISSING,,
20260910,5.0,TAPE_NQ_20260910.csv.gz,504096,5.0,L2_NQ_20260910.csv.gz,772185,5.0,CUM_NQ_20260910.csv.gz,205667,,,358877,True,BS,0,5.0,MISSING,,
20260911,5.0,TAPE_NQ_20260911.csv.gz,461119,5.0,L2_NQ_20260911.csv.gz,765510,5.0,CUM_NQ_20260911.csv.gz,193897,,,327048,True,BS,0,5.0,MISSING,,
