strategy,trades,sessions,months,per_mo,expR,pf,ddR,has_time,open 09:30-10:00,morning 10:00-11:30,midday 11:30-14:00,close 14:00-16:00,longN,shortN
ORB OR15 R3,2619,1398,67,39.08955223880597,-0.026291090064722085,0.9668979362862695,67.78259226968798,True,1534,994,91,0,,
ORB OR15 R4,2600,1398,67,38.80597014925373,-0.002652969278498898,0.9968583644989217,88.29207160343665,True,1531,973,96,0,,
ORB OR30 R3,2577,1379,67,38.46268656716418,-0.09490064573520353,0.8852997995554759,260.37961262127607,True,0,2362,215,0,,
ORB OR30 R4,2556,1379,67,38.149253731343286,-0.1104530623140494,0.8751881054610441,281.75954048442094,True,0,2333,223,0,,
pullback OR15 R3,2065,1156,67,30.82089552238806,-0.05735065875533922,0.9244851967551199,155.93504934972472,True,249,1335,481,0,,
pullback OR30 R3,1423,851,67,21.238805970149254,-0.05134869569570897,0.9326249016662844,91.56596057573951,True,0,848,575,0,,
IB 1R re-entry,736,685,68,10.823529411764707,0.06282545137809037,1.2241807510881924,10.405844531602803,True,0,633,62,41,403.0,333.0
IB 1R single,685,685,68,10.073529411764707,0.06116584733758613,1.2177639444208233,11.015285837985111,True,0,631,43,11,378.0,307.0
IB-mid pullback R2 (QQQ native),233,233,58,4.017241379310345,0.12383844497278695,1.227151115522711,15.343612567925172,True,0,157,76,0,130.0,103.0
Compression D=10:30 flat,208,208,61,3.4098360655737703,0.006047605911997869,1.071602267716936,3.4351965771287674,True,0,208,0,0,132.0,76.0
Compression D=10:00 flat,200,200,62,3.225806451612903,-0.0007263825948257252,0.9934524215172995,4.377080936384106,True,0,200,0,0,126.0,74.0
ORB-Fib cont ORB15 A,112,112,58,1.9310344827586208,0.11544915118496388,1.2296200062663813,8.510020634352733,True,5,99,6,2,52.0,60.0
ORB-Fib cont ORB30 A,76,76,45,1.6888888888888889,0.2071152941614349,1.5273169867193463,5.437667878103977,True,0,65,8,3,24.0,52.0
