strategy,n,window,med_entry,blk,med_risk_bps,med_risk_atr,med_cost_pct,target,pct_open,pct_morning,pct_midday,pct_close,risk_NQpt,cost_pct_NQ
ORB OR15 R3,2619,09:45 onward,24.0,open,10.634625340969038,1.702057270975511,6.268830779570457,3.0,58.57197403589156,37.95341733486063,3.4746086292478044,0.0,31.329606254494784,6.3837380647357005
ORB OR15 R4,2600,09:45 onward,24.0,open,10.476281128517911,1.6809817463761032,6.36358444037629,4.0,58.88461538461538,37.42307692307693,3.6923076923076925,0.0,30.86312420461377,6.48022535482982
ORB OR30 R3,2577,10:00 onward,43.0,morning,9.19071497360025,1.4616468378360725,7.253697547814558,3.0,0.0,91.6569654637175,8.343034536282499,0.0,27.075846312226332,7.386657380666557
ORB OR30 R4,2556,10:00 onward,43.0,morning,9.075407602076279,1.4482542348317802,7.345859226428026,4.0,0.0,91.2754303599374,8.724569640062597,0.0,26.736150795716718,7.480508377146091
pullback OR15 R3,2065,09:45 onward,68.0,morning,10.98575523834933,1.7417788791908997,6.068464590758869,3.0,12.058111380145279,64.64891041162227,23.292978208232444,0.0,32.36403493217713,6.179699175925529
pullback OR30 R3,1423,10:00 onward,103.0,morning,10.14706160868275,1.52477823050837,6.570046505839741,3.0,0.0,59.59241040056219,40.40758959943781,0.0,29.893243499179384,6.69047505686328
IB 1R re-entry,736,10:30 onward,63.0,morning,86.77934082224328,13.288858427166144,0.7682320872274124,1.0,0.0,86.00543478260869,8.423913043478262,5.570652173913043,255.6519380623287,0.7823136468898563
IB 1R single,685,10:30 onward,62.0,morning,87.77409883176118,13.453941007967844,0.7595255041518382,1.0,0.0,92.11678832116789,6.2773722627737225,1.6058394160583942,258.58249515836843,0.7734475602360877
IB-mid pullback R2 (QQQ native),233,10:30-13:00,103.0,morning,17.667844522967883,2.6514483288092907,2.5757575757577005,1.5,0.0,67.38197424892704,32.61802575107296,0.0,52.04946996466338,3.8424983027835045
Compression D=10:30 flat,208,10:31 only,61.0,morning,298.7835770737131,48.21864283716296,0.22312743895436576,,0.0,100.0,0.0,0.0,880.2164180591589,0.22721684792132354
Compression D=10:00 flat,200,10:01 only,31.0,morning,287.8930230481101,49.044959747461036,0.23156764584778144,,0.0,100.0,0.0,0.0,848.1328458997323,0.2358121147729307
ORB-Fib cont ORB15 A,112,09:45 onward,45.0,morning,33.448420859083946,5.551154310615091,1.9931485023451219,1.0,4.464285714285714,88.39285714285714,5.357142857142857,1.7857142857142856,98.53904785086131,2.0296522481392323
ORB-Fib cont ORB30 A,76,10:00 onward,65.5,morning,34.781293373705296,6.0717751753479625,1.9172550849231746,1.0,0.0,85.52631578947368,10.526315789473683,3.9473684210526314,102.46569027893581,1.9518728606185427
