strategy,ts,risk_atr,target,need_atr,mfe_close_med,pct_reach_target,pct_reach_stop,pct_neither,cost_pct
ORB OR15 R3,10:00,1.702057270975511,3.0,5.106171812926533,8.356839522815768,68.75881523272214,87.37658674188998,0.07052186177715092,6.3837380647357005
ORB OR15 R4,10:00,1.6809817463761032,4.0,6.723926985504413,8.356839522815768,58.81523272214386,87.58815232722144,0.4231311706629055,6.48022535482982
ORB OR30 R3,10:00,1.4616468378360725,3.0,4.384940513508218,8.356839522815768,72.28490832157969,89.0691114245416,0.0,7.386657380666557
ORB OR30 R4,10:00,1.4482542348317802,4.0,5.793016939327121,8.356839522815768,65.30324400564174,89.0691114245416,0.14104372355430184,7.480508377146091
pullback OR15 R3,10:30,1.7417788791908997,3.0,5.225336637572699,7.184066953593807,62.29739252995067,85.90556730091615,0.07047216349541931,6.179699175925529
pullback OR30 R3,11:00,1.52477823050837,3.0,4.5743346915251095,6.840991718840415,66.45525017618041,85.69415081042987,0.3523608174770966,6.69047505686328
IB 1R re-entry,10:30,13.288858427166144,1.0,13.288858427166144,7.184066953593807,21.987315010570825,28.118393234672308,51.30373502466525,0.7823136468898563
IB 1R single,10:30,13.453941007967844,1.0,13.453941007967844,7.184066953593807,21.42353770260747,27.695560253699792,52.21987315010571,0.7734475602360877
IB-mid pullback R2 (QQQ native),11:00,2.6514483288092907,1.5,3.977172493213936,6.840991718840415,71.03594080338267,76.46229739252995,0.49330514446793516,3.8424983027835045
Compression D=10:30 flat,10:30,48.21864283716296,,,7.184066953593807,,0.7047216349541932,,0.22721684792132354
Compression D=10:00 flat,10:00,49.044959747461036,,,8.356839522815768,,1.0578279266572637,,0.2358121147729307
ORB-Fib cont ORB15 A,10:00,5.551154310615091,1.0,5.551154310615091,8.356839522815768,66.78420310296191,63.540197461212976,1.7630465444287728,2.0296522481392323
ORB-Fib cont ORB30 A,10:30,6.0717751753479625,1.0,6.0717751753479625,7.184066953593807,57.71670190274841,56.166314305849184,5.426356589147287,1.9518728606185427
