day,reason
20260617,SEALED -- not read
20260618,SEALED -- not read
20260619,SEALED -- not read
20260622,SEALED -- not read
20260623,SEALED -- not read
20260624,SEALED -- not read
20260625,SEALED -- not read
20260626,SEALED -- not read
20260629,SEALED -- not read
20260630,SEALED -- not read
20260703,not a full cash session
20260712,resolution 5.00
20260723,SEALED -- not read
20260821,resolution 5.00
20260824,resolution 5.00
20260825,resolution 5.00
20260826,resolution 5.00
20260827,resolution 5.00
20260828,resolution 5.00
20260831,resolution 5.00
20260901,resolution 5.00
20260902,resolution 5.00
20260903,resolution 5.00
20260904,resolution 5.00
20260907,resolution 5.00
20260908,resolution 5.00
20260909,resolution 5.00
20260910,resolution 5.00
20260911,resolution 5.00
