day,tick,side_labels,nulls,rth_prints,w30,med_vol,med_trd,p90_vol,zero_vol,med_imb,p90_imb,med_tpk,p10_tpk,p90_tpk
20260618,0.25,BS,0,319060,760,358.0,332.5,873.2000000000003,0.0,0.10332865260076907,0.24289917673050063,62.61531365313653,9.942065985860172,144.234131841231
20260622,0.25,BS,0,313872,760,330.0,303.0,932.3000000000001,0.0,0.10233163962755668,0.24731083474584342,68.73496873496873,13.307189542483663,168.1835811247576
20260623,0.25,BS,0,379758,760,451.0,417.5,965.2,0.0,0.10612890669144515,0.2580294288159457,65.48730718682991,13.423991815159013,158.85074521438165
20260624,0.25,BS,0,398538,760,495.0,461.5,899.2,0.0,0.10575732908103527,0.2378920780711826,75.05886703391721,15.384615384615385,170.0623557113383
20260625,0.25,BS,0,421237,760,443.0,408.5,1283.7000000000003,0.0,0.10979920434385249,0.26634057971014496,92.792629809608,19.305019305019304,210.59579642174745
20260626,0.25,BS,0,302975,760,349.5,326.0,755.1,0.0,0.09878391365417313,0.2270412596434872,91.89824512405157,16.767337807606264,214.11149825783974
20260629,0.25,BS,0,312714,758,339.0,313.5,887.9000000000002,0.0,0.10791816094326478,0.243343677332722,61.08990670059373,12.32468443197756,148.0292971855621
20260630,0.25,BS,0,271364,760,297.5,270.0,763.9000000000002,0.0,0.11566057029822474,0.2739946973044631,50.76953580014374,9.965698402215805,116.22498979175175
20260701,0.25,BS,0,292845,760,333.0,308.0,770.0,0.0,0.10454510782508254,0.2418575851393189,62.31235916103311,10.582010582010582,144.90178961152336
20260702,0.25,BS,0,400407,760,477.5,445.0,966.4000000000001,0.0,0.10073879627625026,0.22727317812370854,72.50131410978449,15.659029576925942,163.7353123067409
20260706,0.25,BS,0,270088,760,307.0,285.5,693.0,0.0,0.10912017006001234,0.2532293505277188,58.947629684785305,11.184553975150793,133.13473232802562
20260707,0.25,BS,0,351455,759,417.0,387.0,938.0,0.0,0.10707070707070707,0.24596754263118875,62.35011990407674,10.051251430561774,147.07482993197283
20260708,0.25,BS,0,299814,760,352.5,326.0,776.0,0.0,0.11577479263011084,0.25702386259649457,72.4605353466026,15.168263185569604,180.97901586605252
20260709,0.25,BS,0,267071,760,275.0,249.5,766.4000000000001,0.0,0.10679611650485436,0.2605901451489687,50.22254616862412,8.946384447436888,127.9541169076053
20260710,0.25,BS,0,256501,760,263.0,248.0,755.7000000000002,0.0,0.1164769829357504,0.2727837380011293,58.156219173168324,12.736154593544208,137.20109995217598
20260713,0.25,BS,0,295601,760,324.0,300.5,779.1000000000005,0.0,0.11564625850340136,0.26992721962197297,69.05722670579604,12.168452698443486,167.16229072470307
20260714,0.25,BS,0,258620,760,281.0,255.0,698.4000000000001,0.0,0.11670896785109983,0.25597287704614086,69.49220750713397,14.73025674358141,153.09602107133395
20260715,0.25,BS,0,335526,760,400.0,369.5,867.2000000000003,0.0,0.10826993357390764,0.24739992226972407,53.079284811269645,12.113910186199343,136.4369501466276
20260716,0.25,BS,0,305328,760,363.5,330.5,809.1,0.0,0.10874115983026875,0.2484305975354569,66.08765099331137,11.996172248803829,160.7258672474243
20260717,0.25,BS,0,376500,760,432.0,399.5,1015.6000000000001,0.0,0.09384786012526096,0.2116981736867411,66.90529927158101,11.39610319864235,156.47912885662436
20260720,0.25,BS,0,308789,760,353.5,332.5,773.1,0.0,0.1079711047452983,0.24787031150667516,67.04260651629073,11.347461615021677,156.26745810055866
20260721,0.25,BS,0,258742,760,265.0,248.0,721.1,0.0,0.11946899080790294,0.27511904761904765,47.49644450983277,9.0456972809914,115.08016372710338
20260722,0.25,BS,0,253478,760,281.0,260.0,683.1,0.0,0.12,0.28631689632826735,54.054054054054056,9.945322890498005,128.287841191067
20260723,0.25,BS,0,392488,760,459.0,420.5,998.4000000000005,0.0,0.09723799034143862,0.23514086271217427,58.31874236335924,12.256537018285783,133.1521448080116
20260724,0.25,BS,0,378538,760,440.0,406.5,991.2000000000003,0.0,0.09701930085887238,0.24060150375939848,58.310510160804526,10.689498236431904,136.901970566226
20260727,0.25,BS,0,399618,760,443.5,415.5,1088.5,0.0,0.09663271080928126,0.22609730848861284,67.65848245248995,12.3069854325786,154.61109684436323
20260728,0.25,BS,0,411890,760,438.0,400.5,1152.6000000000001,0.0,0.09737386507298013,0.23233599240695127,55.191954395634085,11.429170080326958,139.06950951017234
20260729,0.25,BS,0,504296,760,656.5,615.0,1187.1000000000004,0.0,0.07541700847689363,0.1817038007863696,60.01205280196794,13.88221153846154,135.10875627440046
20260730,0.25,BS,0,403806,760,448.0,414.0,1163.3000000000002,0.0,0.08653540347529418,0.22682342018768725,48.92540222613572,8.664609219933174,126.7517366354576
20260731,0.25,BS,0,427667,760,444.0,412.5,1336.7000000000003,0.0,0.08124737951741391,0.21624909581113963,58.98371132413686,11.28680996117792,140.93183239524703
20260803,0.25,BS,0,325713,760,357.5,332.0,875.2,0.0,0.09078950437317784,0.23483989212682957,41.540770517491026,8.004591651034522,104.20409676812838
20260804,0.25,BS,0,368734,760,426.5,394.5,928.5000000000001,0.0,0.10014749262536873,0.23346938775510206,35.187467639179665,6.889885487873907,82.88732217992387
20260805,0.25,BS,0,345100,760,349.5,325.5,1010.0,0.0,0.09227111897390536,0.2423628219484883,60.71621878611448,13.894713908330838,148.03159803159804
20260806,0.25,BS,0,345967,760,373.5,353.5,937.2,0.0,0.08636463785076265,0.21481447616260996,57.142857142857146,10.125818746993305,143.24105552857375
20260807,0.25,BS,0,323881,760,335.0,309.0,940.2,0.0,0.10362299508041022,0.2371043214973851,53.65334207077326,9.120078983092682,137.53545509673128
20260810,0.25,BS,0,244199,760,255.5,239.5,662.2,0.0,0.11357493857493858,0.28000065866751567,53.84615384615385,8.83416698730281,129.69483568075117
20260811,0.25,BS,0,289229,760,320.0,300.0,747.0000000000002,0.0,0.11842105263157894,0.26961088435374153,40.71879647916514,8.19672131147541,97.23960250276042
20260812,0.25,BS,0,245080,760,251.0,235.5,700.9000000000002,0.0,0.10606718509454072,0.26179269202087996,48.69579945799458,9.707169408849223,115.8683759969934
20260813,0.25,BS,0,298847,760,323.0,303.0,850.7000000000002,0.0,0.10611231625852631,0.24511960887026368,36.50078369905957,7.211631331104024,87.23896792862311
20260814,0.25,BS,0,260351,760,282.0,256.5,754.1,0.0,0.12962039586359397,0.2973236651285432,38.86192017259978,7.293980746852851,94.96667724531896
20260817,0.25,BS,0,256869,760,296.0,276.5,665.0,0.0,0.11817089114756864,0.28416817405710615,38.91109496124031,7.004029245710507,89.38492063492066
20260818,0.25,BS,0,337036,760,370.0,343.0,965.1,0.0,0.10591491841491842,0.24448512585812357,39.58363799694988,7.0215090340559705,103.67004141739531
20260819,0.25,BS,0,333790,760,316.5,295.0,1005.8000000000002,0.0,0.10192696325392081,0.23636363636363636,49.75124378109453,10.715974394413326,120.23603335078745
20260820,0.25,BS,0,345290,760,366.0,340.0,944.6000000000001,0.0,0.09588677472398402,0.22566293690886488,45.9855252742282,7.316298159671654,113.90381895332392
