session,instrument_id,volume,volume_front,rth_prints,off_tick,first_rth,last_rth,rth_side_N,monotonic,rth_minutes_missing,max_rth_gap_s,recon_volume,cleared_volume,recon_dev,ok_grid,ok_full_cash,ok_side_N,ok_monotonic,ok_dup_dates,ok_prior_use,ok_coverage,ok_gaps,ok_volume,ok_roll_lag,passes,passes_ex_volume
2026-03-02,42002475,615472,615472,283624,0,09:30:00.000211,15:59:59.999519,0,True,0,4.911771102,615472,627650.0,-0.01940253325898189,True,True,True,True,True,True,True,True,True,True,True,True
2026-03-03,42002475,704497,704497,358822,0,09:30:00.001172,15:59:59.999520,0,True,0,3.232545708,704497,719421.0,-0.0207444597808516,True,True,True,True,True,True,True,True,False,True,False,True
2026-03-04,42002475,588798,588798,269792,0,09:30:00.001108,15:59:59.999531,0,True,0,4.966178964,588798,603596.0,-0.02451639838567521,True,True,True,True,True,True,True,True,False,True,False,True
2026-03-05,42002475,670421,670421,349893,0,09:30:00.001055,15:59:59.999526,0,True,0,2.92344256,670421,683962.0,-0.01979788350814815,True,True,True,True,True,True,True,True,True,True,True,True
2026-03-06,42002475,629977,629977,323617,0,09:30:00.002871,15:59:59.999518,0,True,0,3.562119698,629977,645082.0,-0.023415627780654202,True,True,True,True,True,True,True,True,False,True,False,True
2026-03-09,42002475,696544,696544,325776,0,09:30:00.002645,15:59:59.999522,0,True,0,3.779025542,696544,708630.0,-0.017055445013617776,True,True,True,True,True,True,True,True,True,True,True,True
2026-03-10,42002475,552388,552388,301683,0,09:30:00.000421,15:59:59.999990,0,True,0,3.346662166,552388,564644.0,-0.021705711917597625,True,True,True,True,True,True,True,True,False,True,False,True
2026-03-11,42002475,467980,467980,255312,0,09:30:00.000424,15:59:59.999741,0,True,0,5.463821704,467980,476593.0,-0.018072023718350927,True,True,True,True,True,True,True,True,True,True,True,True
2026-03-12,42002475,542709,542709,287029,0,09:30:00.001107,15:59:59.999519,0,True,0,4.020813732,542709,565145.0,-0.03969954613417792,True,True,True,True,True,True,True,True,False,True,False,True
2026-03-13,42002475,539281,539281,281689,0,09:30:00.007621,15:59:59.999517,0,True,0,3.72988064,539281,609146.0,-0.11469335758586607,True,True,True,True,True,True,True,True,False,True,False,True
2026-03-16,42002475,249341,249341,129013,0,09:30:00.000767,15:59:59.999521,0,True,0,9.748461612,249341,413547.0,-0.39706732245669774,True,True,True,True,True,True,True,True,False,False,False,False
2026-03-17,42002475,77381,77381,37733,0,09:30:00.007741,15:59:59.993403,0,True,0,26.62186119,77381,,,True,True,True,True,True,True,True,True,False,False,False,False
2026-03-18,42004058,438326,437631,217482,0,09:30:00.000612,15:59:59.999523,0,True,0,5.546986314,437631,501039.0,-0.12655302281858294,True,True,True,True,True,True,True,True,False,True,False,True
2026-03-19,42004058,586238,586238,282441,0,09:30:00.000441,15:59:59.999512,0,True,0,4.01157336,586238,628561.0,-0.06733316257292454,True,True,True,True,True,True,True,True,False,True,False,True
2026-03-20,42004058,579181,579181,289889,0,09:30:00.000080,15:59:59.999516,0,True,0,3.73583876,579181,611673.0,-0.05311988595213457,True,True,True,True,True,True,True,True,False,True,False,True
2026-03-23,42004058,672424,672424,283581,0,09:30:00.001528,15:59:59.998633,0,True,0,3.812004458,672424,683625.0,-0.016384713841652965,True,True,True,True,True,True,True,True,True,True,True,True
2026-03-24,42004058,538222,538222,258880,0,09:30:00.000091,15:59:59.999514,0,True,0,5.618214512,538222,544209.0,-0.011001288108061447,True,True,True,True,True,True,True,True,True,True,True,True
2026-03-25,42004058,515447,515447,253444,0,09:30:00.002323,15:59:59.999833,0,True,0,7.09580212,515447,525449.0,-0.019035148986866424,True,True,True,True,True,True,True,True,True,True,True,True
2026-03-26,42004058,538803,538803,256301,0,09:30:00.000133,15:59:59.999513,0,True,0,3.914110882,538803,557306.0,-0.03320079094788142,True,True,True,True,True,True,True,True,False,True,False,True
2026-03-27,42004058,550358,550358,259304,0,09:30:00.000077,15:59:59.999514,0,True,0,5.51975125,550358,559271.0,-0.01593681775024991,True,True,True,True,True,True,True,True,True,True,True,True
2026-03-30,42004058,549468,549468,254904,0,09:30:00.002303,15:59:59.999513,0,True,0,4.49078687,549468,559453.0,-0.017847790609756276,True,True,True,True,True,True,True,True,True,True,True,True
2026-03-31,42004058,735377,735377,356137,0,09:30:00.000081,15:59:59.999511,0,True,0,2.958066378,735377,755160.0,-0.026197097303882644,True,True,True,True,True,True,True,True,False,True,False,True
