instr,period,first,last,sessions,early,missing_bars,missing_pct,zero_change_1m,flat_1m,max_run_med,zero_change_5m,short_5m,med_vol_1m,med_vol_5m,zero_vol_1m,nan_vol,px,spread_bps,comm_bps,rt_bps,atr1m_bps,mv15_bps
QQQ,discovery 2021-2023,2021-01-04 09:30,2023-12-29 15:59,753,4,52,0.01775046936337259,1.6825425086797827,0.0,1.0,0.6498824870023502,0.017801513128615932,74720.5,385295.0,0.0,0,336.63,0.2970620562635535,0.20794343938448742,0.5050054956480409,6.957765013216575,10.353931841304842
QQQ,int. validation 2024-2025,2024-01-02 09:30,2025-12-31 15:59,502,6,0,0.0,1.5456989247311828,0.0,1.0,0.6720430107526881,0.0,66757.0,358391.0,0.0,0,495.99,0.20161696808403395,0.14113187765882376,0.3427488457428577,5.413630850004574,8.08000536517195
QQQ,QQQ 2026 on disk,2026-01-02 09:30,2026-08-31 15:59,166,0,2,0.0030892801977139327,1.203311810683061,0.0015446878185918626,1.0,0.44983532813880633,0.008032128514056224,80725.0,431081.0,0.0,0,671.4775,0.14892531767631828,0.1042477223734228,0.25317304004974106,6.251158641225216,8.96398217226313
SPY,discovery 2021-2023,2021-01-04 09:30,2023-12-29 15:59,753,4,57,0.01945724526369688,1.7722810585749846,0.0,1.0,0.7816673195399024,0.02136181575433912,109417.0,566596.5,0.0,0,420.27995,0.23793664199303347,0.16655564939512343,0.4044922913881569,5.061545997164644,7.547170169557305
SPY,int. validation 2024-2025,2024-01-02 09:30,2025-12-31 15:59,502,6,0,0.0,1.7250827129859387,0.0,1.0,0.739247311827957,0.0,91722.0,489551.5,0.0,0,579.3,0.17262213015708616,0.12083549110996031,0.29345762126704644,3.8879325537182416,5.952008489762406
IWM,discovery 2021-2023,2021-01-04 09:30,2023-12-29 15:59,753,4,57,0.01945724526369688,3.3507616768189337,0.0,1.0,1.3888394287952708,0.02136181575433912,37514.0,198913.5,0.0,0,192.25,0.5201560468140443,0.3641092327698309,0.8842652795838751,7.274945882517967,11.696233475744222
IWM,int. validation 2024-2025,2024-01-02 09:30,2025-12-31 15:59,502,6,0,0.0,3.106906534325889,0.0,1.0,1.306451612903226,0.0,48643.0,270297.0,0.0,0,216.93,0.4609781957313419,0.32268473701193934,0.7836629327432812,6.255588600138416,9.929165711324295
IJH,discovery 2021-2023,2021-01-04 09:30,2023-12-29 15:59,753,4,11146,3.8047448370029016,2.4809594988967185,8.908463235817496,1.0,1.0757417486759397,2.842901646639964,6500.0,41585.0,0.0,0,257.57,0.38824397251232673,0.2717707807586287,0.6600147532709555,4.768984551707565,9.743740418173275
IJH,int. validation 2024-2025,2024-01-02 09:30,2025-12-31 15:59,502,6,375,0.1926040061633282,7.250925853986999,0.6842255199026235,2.0,3.255576183173245,0.08870967741935484,10841.0,63572.0,0.0,0,62.24,1.6066838046272494,1.1246786632390746,2.7313624678663238,4.456822171450902,7.800499216914503
EFA,discovery 2021-2023,2021-01-04 09:30,2023-12-29 15:59,753,4,183,0.06246799795186892,13.153973424863066,0.6508476434177037,3.0,5.845901814490999,0.0267022696929239,25927.0,156684.0,0.0,0,72.59,1.3776002204160351,0.9643201542912246,2.34192037470726,3.5563154743985366,5.890948325029122
EFA,int. validation 2024-2025,2024-01-02 09:30,2025-12-31 15:59,502,6,128,0.0657421674370827,11.669218672405231,1.0408045025658004,3.0,5.011022097962256,0.005376344086021506,15344.0,92745.0,0.0,0,81.4,1.2285012285012284,0.8599508599508598,2.0884520884520885,2.7742079886657818,5.025818832447015
