day,win,rule,n,risk
20260701,EU  07:00-16:00,ORB OR15,2,3.6299271134224274
20260701,EU  07:00-16:00,ORB OR30,2,2.2837062701110167
20260701,EU  07:00-16:00,pullback OR15,2,7.37988665135995
20260701,EU  07:00-16:00,pullback OR30,2,22.37826405405147
20260701,EU- 07:00-13:30,ORB OR15,2,3.6299271134224274
20260701,EU- 07:00-13:30,ORB OR30,2,2.2837062701110167
20260701,EU- 07:00-13:30,pullback OR15,2,7.37988665135995
20260701,EU- 07:00-13:30,pullback OR30,1,8.13904685095374
20260701,US  13:30-20:00,ORB OR15,2,10.745021204831108
20260701,US  13:30-20:00,ORB OR30,2,12.235146284401015
20260701,US  13:30-20:00,pullback OR15,1,8.349660640030423
20260701,US  13:30-20:00,pullback OR30,0,
20260701,US* 13:30-18:30,ORB OR15,2,10.745021204831108
20260701,US* 13:30-18:30,ORB OR30,2,12.235146284401015
20260701,US* 13:30-18:30,pullback OR15,1,8.349660640030423
20260701,US* 13:30-18:30,pullback OR30,0,
20260702,EU  07:00-16:00,ORB OR15,2,6.534199753078956
20260702,EU  07:00-16:00,ORB OR30,2,4.7616460795291875
20260702,EU  07:00-16:00,pullback OR15,2,7.630334130075293
20260702,EU  07:00-16:00,pullback OR30,2,6.274341016598222
20260702,EU- 07:00-13:30,ORB OR15,2,6.534199753078956
20260702,EU- 07:00-13:30,ORB OR30,2,4.7616460795291875
20260702,EU- 07:00-13:30,pullback OR15,2,7.630334130075293
20260702,EU- 07:00-13:30,pullback OR30,2,6.274341016598222
20260702,US  13:30-20:00,ORB OR15,2,15.275157385166885
20260702,US  13:30-20:00,ORB OR30,2,15.014503353640919
20260702,US  13:30-20:00,pullback OR15,2,19.907826824139686
20260702,US  13:30-20:00,pullback OR30,2,25.042180240531504
20260702,US* 13:30-18:30,ORB OR15,2,15.275157385166885
20260702,US* 13:30-18:30,ORB OR30,2,15.014503353640919
20260702,US* 13:30-18:30,pullback OR15,2,19.907826824139686
20260702,US* 13:30-18:30,pullback OR30,2,25.042180240531504
20260703,EU  07:00-16:00,ORB OR15,2,2.8101416378389663
20260703,EU  07:00-16:00,ORB OR30,2,2.395530576518653
20260703,EU  07:00-16:00,pullback OR15,2,3.695901632478704
20260703,EU  07:00-16:00,pullback OR30,2,4.317818224459784
20260703,EU- 07:00-13:30,ORB OR15,2,2.8101416378389663
20260703,EU- 07:00-13:30,ORB OR30,2,2.395530576518653
20260703,EU- 07:00-13:30,pullback OR15,2,3.695901632478704
20260703,EU- 07:00-13:30,pullback OR30,2,4.317818224459784
20260703,US  13:30-20:00,ORB OR15,2,3.014286549268016
20260703,US  13:30-20:00,ORB OR30,2,3.014286549268016
20260703,US  13:30-20:00,pullback OR15,0,
20260703,US  13:30-20:00,pullback OR30,0,
20260703,US* 13:30-18:30,ORB OR15,2,3.014286549268016
20260703,US* 13:30-18:30,ORB OR30,2,3.014286549268016
20260703,US* 13:30-18:30,pullback OR15,0,
20260703,US* 13:30-18:30,pullback OR30,0,
20260706,EU  07:00-16:00,ORB OR15,2,3.144039795694706
20260706,EU  07:00-16:00,ORB OR30,2,2.8297460559499195
20260706,EU  07:00-16:00,pullback OR15,2,5.382112765345649
20260706,EU  07:00-16:00,pullback OR30,2,5.820772975191948
20260706,EU- 07:00-13:30,ORB OR15,2,3.144039795694706
20260706,EU- 07:00-13:30,ORB OR30,2,2.8297460559499195
20260706,EU- 07:00-13:30,pullback OR15,2,5.382112765345649
20260706,EU- 07:00-13:30,pullback OR30,2,5.820772975191948
20260706,US  13:30-20:00,ORB OR15,1,19.745105591934728
20260706,US  13:30-20:00,ORB OR30,2,9.443402388169806
20260706,US  13:30-20:00,pullback OR15,2,9.175445060373892
20260706,US  13:30-20:00,pullback OR30,0,
20260706,US* 13:30-18:30,ORB OR15,1,19.745105591934728
20260706,US* 13:30-18:30,ORB OR30,2,9.443402388169806
20260706,US* 13:30-18:30,pullback OR15,2,9.175445060373892
20260706,US* 13:30-18:30,pullback OR30,0,
20260707,EU  07:00-16:00,ORB OR15,2,3.764554921929713
20260707,EU  07:00-16:00,ORB OR30,2,3.534514152705543
20260707,EU  07:00-16:00,pullback OR15,2,4.706875735292223
20260707,EU  07:00-16:00,pullback OR30,2,4.236966904487387
20260707,EU- 07:00-13:30,ORB OR15,2,3.764554921929713
20260707,EU- 07:00-13:30,ORB OR30,2,3.534514152705543
20260707,EU- 07:00-13:30,pullback OR15,2,4.706875735292223
20260707,EU- 07:00-13:30,pullback OR30,2,4.236966904487387
20260707,US  13:30-20:00,ORB OR15,2,15.710247163524372
20260707,US  13:30-20:00,ORB OR30,2,13.62984520646205
20260707,US  13:30-20:00,pullback OR15,1,9.789531401577706
20260707,US  13:30-20:00,pullback OR30,2,17.07790290606918
20260707,US* 13:30-18:30,ORB OR15,2,15.710247163524372
20260707,US* 13:30-18:30,ORB OR30,2,13.62984520646205
20260707,US* 13:30-18:30,pullback OR15,1,9.789531401577706
20260707,US* 13:30-18:30,pullback OR30,2,17.07790290606918
20260708,EU  07:00-16:00,ORB OR15,2,5.20738554509145
20260708,EU  07:00-16:00,ORB OR30,2,5.397252172330802
20260708,EU  07:00-16:00,pullback OR15,2,7.165279104681316
