setname,family,day,R,naive_R,risk_bps,mins,or_ratio,ambiguous,cost_risk,gross_R,grade,year
ORB OR15 R3,ORB,2021-02-02,-1.0737726098191163,-1.0737726098191163,9.036777583188028,15.0,0.7588295774855474,False,7.377260981911625,-1.0,B,2021
ORB OR15 R3,ORB,2021-02-02,-1.0739070456596878,-1.0739070456596878,9.020339816265931,25.0,0.7588295774855474,False,7.390704565968788,-0.9999999999999999,B,2021
ORB OR15 R3,ORB,2021-02-03,-1.0706873272037554,-1.0706873272037554,9.43120489964216,40.0,1.1161228487546637,False,7.068732720375544,-0.9999999999999999,A,2021
ORB OR15 R3,ORB,2021-02-03,-1.0681555414348405,-1.0681555414348405,9.781547510762985,44.0,1.1161228487546637,False,6.815554143484041,-1.0,A,2021
ORB OR15 R3,ORB,2021-02-04,-1.0659823692790766,-1.0659823692790766,10.103709126402507,32.0,0.8917186655644286,False,6.598236927907661,-1.0,B,2021
ORB OR15 R3,ORB,2021-02-04,-1.0592046808971685,-1.0592046808971685,11.260370912640989,39.0,0.8917186655644286,False,5.920468089716842,-1.0,B,2021
ORB OR15 R3,ORB,2021-02-05,-1.0938273703294492,-1.0938273703294492,7.10524726767731,25.0,0.6291915818282482,False,9.38273703294493,-0.9999999999999999,B,2021
ORB OR15 R3,ORB,2021-02-05,-1.0904120432925188,-1.0904120432925188,7.373648934243581,40.0,0.6291915818282482,False,9.041204329251892,-0.9999999999999999,B,2021
ORB OR15 R3,ORB,2021-02-08,-1.105212454299219,-1.105212454299219,6.336385469829454,34.0,0.5426529090253048,False,10.5212454299219,-1.0,B,2021
ORB OR15 R3,ORB,2021-02-08,-1.1710771285132393,-1.1710771285132393,3.8968778144711207,77.0,0.5426529090253048,False,17.10771285132392,-1.0,B,2021
ORB OR15 R3,ORB,2021-02-09,-1.0913164035689706,-1.0913164035689706,7.300623333935158,15.0,0.5428444413599068,False,9.131640356897064,-1.0,B,2021
ORB OR15 R3,ORB,2021-02-09,2.905084358837175,2.905084358837175,7.023780891107502,20.0,0.5428444413599068,False,9.491564116282499,3.0,B,2021
ORB OR15 R3,ORB,2021-02-10,2.8797149063751206,2.8797149063751206,5.5423880597019695,42.0,0.6622740973369577,False,12.02850936248797,3.0000000000000004,B,2021
ORB OR15 R3,ORB,2021-02-11,-1.0757602537956066,-1.0757602537956066,8.799688930098686,20.0,0.5073939671827552,False,7.576025379560665,-0.9999999999999999,B,2021
