======================================================================================================================
  BOUNDED RECONSTRUCTION — NOT A REPLICATION
======================================================================================================================
  true-tick sessions 61   20260302 .. 20260529   sealed days excluded, 2016-2020 unread
  grid: pivot L/R [2, 3, 5] x stop [0.5, 1.0, 1.2] x ATR14   TP fixed 1.2xATR14
  costs in points/round-turn: {'none': 0.0, 'commission': 0.22, 'comm+1tick': 0.72, 'comm+2.1pt': 2.32}
  Positions are flattened at each tape day's end (the archive is not
  contiguous across weekends and excluded days). Declared, not hidden.
  5-minute bars built from ticks: 16836   (276 a session)

======================================================================================================================
  CALIBRATION CHECK — Model A, no cost, against the supplied ledger
======================================================================================================================
  ledger: 28.6 trades/session · 57% win · 7.99 gross pts/trade · 20.4% reversal-affected

  pivot     stop  trades  per sess    win%  pts/trade    rev%   same%  TP dist
  2/2        0.5    3043      49.9    32.0      -0.80    17.5     0.0    26.91
  2/2        1.0    2532      41.5    42.4      -1.62    26.7     0.0    26.89
  2/2        1.2    2409      39.5    45.1      -1.60    30.6     0.0    26.90
  3/3        0.5    2393      39.2    32.2      -0.34    14.0     0.0    28.21
  3/3        1.0    1913      31.4    44.9      -0.70    21.9     0.0    27.84
  3/3        1.2    1802      29.5    48.2      -0.39    25.2     0.0    27.86
  5/5        0.5    1697      27.8    31.5      -0.33    10.4     0.0    29.14
  5/5        1.0    1348      22.1    43.5      -1.15    16.8     0.0    28.89
  5/5        1.2    1261      20.7    47.5      -0.81    19.3     0.0    29.03

======================================================================================================================
  MODEL A
======================================================================================================================
  pivot     stopcost              n   win%    avgW    avgL     exp     PF    maxDD$       P&L $   rev%  same%       $rev     $other
  2/2        0.5none           3043   32.0   28.21  -14.44  -0.805   0.92    58,744     -48,984   17.5    0.0   -146,777     97,794
  2/2        0.5commission     3043   31.9   28.08  -14.64  -1.025   0.90    71,203     -62,373   17.5    0.0   -149,127     86,754
  2/2        0.5comm+1tick     3043   31.7   27.72  -15.11  -1.525   0.85    99,650     -92,803   17.5    0.0   -154,467     61,664
  2/2        0.5comm+2.1pt     3043   31.2   26.57  -16.58  -3.125   0.73   194,428    -190,179   17.5    0.0   -171,555    -18,624
  2/2        1.0none           2532   42.4   28.30  -23.62  -1.617   0.88    93,276     -81,864   26.7    0.0   -210,637    128,773
  2/2        1.0commission     2532   42.3   28.16  -23.79  -1.837   0.87   103,708     -93,004   26.7    0.0   -213,611    120,607
  2/2        1.0comm+1tick     2532   42.1   27.79  -24.21  -2.337   0.83   127,566    -118,324   26.7    0.0   -220,371    102,047
  2/2        1.0comm+2.1pt     2532   41.4   26.62  -25.52  -3.937   0.74   207,668    -199,348   26.7    0.0   -242,003     42,655
  2/2        1.2none           2409   45.1   28.31  -26.20  -1.602   0.89    89,728     -77,173   30.6    0.0   -249,353    172,181
  2/2        1.2commission     2409   45.0   28.19  -26.34  -1.822   0.87    99,641     -87,772   30.6    0.0   -252,600    164,828
  2/2        1.2comm+1tick     2409   44.7   27.85  -26.72  -2.322   0.84   122,171    -111,862   30.6    0.0   -259,980    148,118
  2/2        1.2comm+2.1pt     2409   44.0   26.65  -27.99  -3.922   0.75   197,075    -188,950   30.6    0.0   -283,596     94,646
  3/3        0.5none           2393   32.2   29.30  -14.39  -0.335   0.97    40,186     -16,045   14.0    0.0   -102,300     86,255
  3/3        0.5commission     2393   32.0   29.27  -14.57  -0.555   0.94    42,079     -26,574   14.0    0.0   -103,774     77,199
  3/3        0.5comm+1tick     2393   31.8   28.88  -15.04  -1.055   0.90    60,129     -50,504   14.0    0.0   -107,124     56,619
  3/3        0.5comm+2.1pt     2393   31.3   27.73  -16.52  -2.655   0.77   133,592    -127,080   14.0    0.0   -117,844     -9,237
  3/3        1.0none           1913   44.9   29.06  -24.90  -0.698   0.95    46,256     -26,708   21.9    0.0   -145,783    119,075
  3/3        1.0commission     1913   44.6   29.01  -25.00  -0.918   0.93    48,104     -35,125   21.9    0.0   -147,623    112,497
  3/3        1.0comm+1tick     1913   44.3   28.68  -25.38  -1.418   0.90    61,051     -54,255   21.9    0.0   -151,803     97,547
  3/3        1.0comm+2.1pt     1913   43.8   27.41  -26.74  -3.018   0.80   121,339    -115,471   21.9    0.0   -165,179     49,707
  3/3        1.2none           1802   48.2   29.31  -28.00  -0.394   0.97    43,468     -14,201   25.2    0.0   -174,836    160,635
  3/3        1.2commission     1802   47.8   29.29  -28.04  -0.614   0.96    45,175     -22,130   25.2    0.0   -176,833    154,704
  3/3        1.2comm+1tick     1802   47.6   28.93  -28.42  -1.114   0.93    49,055     -40,150   25.2    0.0   -181,373    141,224
  3/3        1.2comm+2.1pt     1802   47.1   27.62  -29.74  -2.714   0.83   105,077     -97,814   25.2    0.0   -195,901     98,088
  5/5        0.5none           1697   31.5   30.49  -14.48  -0.328   0.97    20,951     -11,131   10.4    0.0    -60,994     49,863
  5/5        0.5commission     1697   31.4   30.32  -14.68  -0.548   0.95    24,056     -18,598   10.4    0.0    -61,773     43,175
  5/5        0.5comm+1tick     1697   31.3   29.94  -15.16  -1.048   0.90    39,991     -35,568   10.4    0.0    -63,543     27,975
  5/5        0.5comm+2.1pt     1697   31.0   28.61  -16.69  -2.648   0.77    93,303     -89,872   10.4    0.0    -69,207    -20,665
  5/5        1.0none           1348   43.5   30.20  -25.33  -1.151   0.92    34,825     -31,044   16.8    0.0    -84,837     53,793
  5/5        1.0commission     1348   43.4   30.08  -25.48  -1.371   0.90    40,682     -36,975   16.8    0.0    -85,832     48,857
  5/5        1.0comm+1tick     1348   43.0   29.83  -25.82  -1.871   0.87    53,992     -50,455   16.8    0.0    -88,092     37,637
  5/5        1.0comm+2.1pt     1348   42.9   28.33  -27.35  -3.471   0.78    96,584     -93,591   16.8    0.0    -95,324      1,733
  5/5        1.2none           1261   47.5   30.10  -28.78  -0.814   0.95    28,607     -20,522   19.3    0.0    -97,643     77,121
