set,cond,part,n,mean_R,se,t,after_conc,k_dropped,years,claimable,passed
IB 1R single,vix_lvl,top half,299,0.061995111220324826,0.04182238679198022,1.4823427349730525,-0.04202332730390408,30,5/6,True,False
IB 1R single,vix_lvl,bottom half,299,0.04285433795967386,0.041280922761056896,1.038114826253382,-0.06297095645405289,30,6/6,True,False
IB 1R single,vix_lvl,top quartile,150,0.066789188931189,0.060420894997813654,1.1053988679513236,-0.03640727778736595,15,3/6,True,False
IB 1R single,vix_lvl,bottom quartile,150,0.038163452292360525,0.05984750617081509,0.6376782381447184,-0.06773488787308647,15,3/5,True,False
IB 1R single,vix_chg,top half,299,0.08778753133977434,0.04117075979663518,2.1322786310819812,-0.013258841727776234,30,6/6,True,False
IB 1R single,vix_chg,bottom half,299,0.017061917840224358,0.04183798592339465,0.40780925428544124,-0.09183883150547988,30,4/6,True,False
IB 1R single,vix_chg,top quartile,150,-0.02360161327468232,0.05810865934201465,-0.40616344520647896,-0.1367097564117366,15,3/6,True,False
IB 1R single,vix_chg,bottom quartile,150,0.026492868262267474,0.05739338585543711,0.46160141743506666,-0.08103851595268825,15,4/6,True,False
IB 1R single,on_range,top half,335,0.04708141517652571,0.039398108308386325,1.1950171517880697,-0.05987594032758887,34,5/6,True,False
IB 1R single,on_range,bottom half,335,0.07178038746962406,0.039107325780926676,1.8354716421093822,-0.03230605665503904,34,5/6,True,False
IB 1R single,on_range,top quartile,168,0.11263721373229926,0.055021279051458274,2.047157312118391,0.013336764772343183,17,4/6,True,True
IB 1R single,on_range,bottom quartile,168,0.05572481615942266,0.05596570711028278,0.9956957400647966,-0.049562731454070696,17,4/6,True,False
IB 1R single,on_disp,top half,338,0.07650110452929974,0.03825337483071844,1.9998524278665055,-0.02601099776862125,34,5/6,True,False
IB 1R single,on_disp,bottom half,338,0.03604187602763059,0.03963539413602793,0.9093356282502338,-0.07110288117105497,34,4/6,True,False
IB 1R single,on_disp,top quartile,169,0.04284054764838521,0.05454938538891671,0.7853534433605097,-0.06353548463545504,17,4/6,True,False
IB 1R single,on_disp,bottom quartile,169,0.0524431534685744,0.05613575253886099,0.9342201911744157,-0.05289154918283562,17,5/6,True,False
IB 1R single,prior_loc,top half,338,0.07764266784178225,0.039798834415095324,1.9508779335591073,-0.024790663513721004,34,5/6,True,False
IB 1R single,prior_loc,bottom half,338,0.04007274862928902,0.03811110757672523,1.0514716358902616,-0.06657864486100772,34,6/6,True,False
IB 1R single,prior_loc,top quartile,169,0.045591006257743344,0.05810324879126113,0.7846550271488493,-0.06044368282418168,17,4/6,True,False
IB 1R single,prior_loc,bottom quartile,169,-0.029156950039553126,0.0540493303366399,-0.5394507176675916,-0.1436204858487092,17,1/6,True,False
IB 1R single,fomc,FOMC = 1,25,-0.07918264985393232,0.17560059477360684,-0.4509247246913861,-0.7139270899159543,10,3/6,False,False
IB 1R single,fomc,FOMC = 0,652,0.06289711570473326,0.027789375304066312,2.263351191472439,-0.04192656876957826,66,5/6,True,False
IB 1R re-entry,vix_lvl,top half,324,0.047962395736449226,0.04143527248707698,1.1575257711025784,-0.05937924983126898,33,5/6,True,False
IB 1R re-entry,vix_lvl,bottom half,324,0.06322742524796716,0.04045536239189612,1.5628935574838074,-0.04203795000271661,33,6/6,True,False
IB 1R re-entry,vix_lvl,top quartile,162,0.06496283378511516,0.05764070022175145,1.1270306143956352,-0.04412671894328061,17,4/6,True,False
IB 1R re-entry,vix_lvl,bottom quartile,162,0.06080728367460472,0.0577987439309482,1.0520519917742643,-0.04822749065385117,17,3/5,True,False
IB 1R re-entry,vix_chg,top half,324,0.08810742848393847,0.0419154489610894,2.1020275499310443,-0.01458064764641453,33,6/6,True,False
IB 1R re-entry,vix_chg,bottom half,324,0.02317420552284208,0.039947110079793034,0.5801222034973836,-0.08683966739363694,33,4/6,True,False
IB 1R re-entry,vix_chg,top quartile,162,-0.024595093741291128,0.05905914951879423,-0.41644849175256576,-0.14402960242091575,17,3/6,True,False
