pivot,stop,model,cost,n,per_sess,win,avg_w,avg_l,exp,pf,dd_pts,dd_usd,pnl,rev_pct,same_pct,pnl_rev,pnl_oth,tp_dist
2/2,0.5,A,none,1707,47.416666666666664,32.39601640304628,32.468840791414735,-16.692356663297712,-0.7660870719350978,0.9321127541188008,2419.3357386519674,48386.71477303935,-26154.21263586424,20.328060925600468,0.0,-89783.12409148813,63628.91145562389,32.27485384899592
2/2,0.5,A,commission,1707,47.416666666666664,32.2788517867604,32.36620692968858,-16.883244506965074,-0.9860870719350968,0.9137547784816967,2594.4557386519837,51889.11477303968,-33665.0126358642,20.328060925600468,0.0,-91309.92409148812,57644.911455623915,32.27485384899592
2/2,0.5,A,comm+1tick,1707,47.416666666666664,32.04452255418863,32.100492945656825,-17.32389678712715,-1.4860870719350967,0.8737666230758101,3045.377423096256,60907.548461925115,-50735.0126358642,20.328060925600468,0.0,-94779.92409148812,44044.911455623915,32.27485384899592
2/2,0.5,A,comm+2.1pt,1707,47.416666666666664,31.517281780902167,31.020359399633836,-18.782638142682817,-3.086087071935096,0.7600777124825409,5670.977423096238,113419.54846192477,-105359.01263586419,20.328060925600468,0.0,-105883.92409148812,524.9114556239147,32.27485384899592
2/2,0.5,B,none,1023,28.416666666666668,30.98729227761486,35.25339045627119,-15.173128059230912,0.4526846185932977,1.0432306283160044,978.861810158869,19577.23620317738,9261.927296418871,5.669599217986314,47.01857282502444,995.0,8266.927296418871,33.39839028399001
2/2,0.5,B,commission,1023,28.416666666666668,30.98729227761486,35.033390456271185,-15.393128059230913,0.23268461859329856,1.0219034096600772,1074.3964067477227,21487.928134954454,4760.727296418889,5.669599217986314,47.01857282502444,739.8000000000006,4020.9272964188904,33.39839028399001
2/2,0.5,B,comm+1tick,1023,28.416666666666668,30.98729227761486,34.533390456271185,-15.893128059230913,-0.26731538140670136,0.9756283182255334,1345.1365987906638,26902.731975813276,-5469.272703581109,5.669599217986314,47.01857282502444,159.80000000000084,-5629.072703581104,33.39839028399001
2/2,0.5,B,comm+2.1pt,1023,28.416666666666668,30.40078201368524,33.59342371266228,-17.35648653064188,-1.8673153814067012,0.8454206420721037,2341.9365987906413,46838.73197581283,-38205.272703581104,5.669599217986314,47.01857282502444,-1696.1999999999994,-36509.0727035811,33.39839028399001
2/2,0.5,C,none,2570,71.38888888888889,30.311284046692606,27.17490372272144,-13.146286990508097,-0.9244163424124514,0.8990974729241877,3022.5,60450.0,-47515.0,26.225680933852143,47.82101167315175,-11675.0,-35840.0,32.75
2/2,0.5,C,commission,2570,71.38888888888889,30.311284046692606,26.954903722721436,-13.366286990508094,-1.1444163424124505,0.8771399163374274,3561.279999999925,71225.5999999985,-58822.999999999956,26.225680933852143,47.82101167315175,-14640.599999999995,-44182.399999999965,32.75
2/2,0.5,C,comm+1tick,2570,71.38888888888889,29.455252918287936,27.23244385733157,-13.701660231660233,-1.6444163424124505,0.8298727391811396,4786.659999999879,95733.19999999758,-84522.99999999996,26.225680933852143,47.82101167315175,-21380.599999999995,-63142.399999999965,32.75
2/2,0.5,C,comm+2.1pt,2570,71.38888888888889,26.575875486381324,28.513821376281115,-14.739316375198724,-3.2444163424124506,0.7002077079533416,8711.4599999998,174229.19999999602,-166762.99999999994,26.225680933852143,47.82101167315175,-42948.600000000006,-123814.39999999995,32.75
2/2,1.0,A,none,1428,39.666666666666664,42.016806722689076,32.10403880516975,-26.633648094710335,-1.9539477166094594,0.8734738911058391,3447.2658014311273,68945.31602862255,-55804.74678636616,31.23249299719888,0.0,-135386.66137053608,79581.91458416994,32.127182910613556
2/2,1.0,A,commission,1428,39.666666666666664,41.80672268907563,32.04455621104459,-26.75691624225263,-2.1739477166094585,0.8603823835080092,3749.1058014310893,74982.1160286218,-62087.94678636614,31.23249299719888,0.0,-137349.0613705361,75261.11458416996,32.127182910613556
2/2,1.0,A,comm+1tick,1428,39.666666666666664,41.45658263305322,31.8125632749785,-27.09501770108324,-2.6739477166094585,0.8314280144568299,4435.105801431058,88702.11602862117,-76367.94678636614,31.23249299719888,0.0,-141809.0613705361,65441.114584169954,32.127182910613556
2/2,1.0,A,comm+2.1pt,1428,39.666666666666664,40.826330532212886,30.68773132931765,-28.395437519894074,-4.273947716609458,0.7456380540114906,6642.5430941477425,132850.86188295484,-122063.94678636611,31.23249299719888,0.0,-156081.06137053604,34017.11458416997,32.127182910613556
2/2,1.0,B,none,940,26.11111111111111,45.42553191489362,35.414954556656525,-27.343484047311176,1.1648705100230878,1.0780610320168007,1181.6789854972048,23633.579709944097,21899.565588434052,15.425531914893616,20.319148936170212,-26710.0,48609.56558843405,33.56209230675631
2/2,1.0,B,commission,940,26.11111111111111,45.42553191489362,35.19495455665652,-27.563484047311185,0.9448705100230881,1.06281287490051,1231.398985497211,24627.979709944222,17763.565588434056,15.425531914893616,20.319148936170212,-27347.999999999996,45111.56558843406,33.56209230675631
2/2,1.0,B,comm+1tick,940,26.11111111111111,45.42553191489362,34.69495455665652,-28.063484047311185,0.44487051002308803,1.0290470825603741,1344.3989854972106,26887.97970994421,8363.565588434056,15.425531914893616,20.319148936170212,-28797.999999999996,37161.56558843407,33.56209230675631
2/2,1.0,B,comm+2.1pt,940,26.11111111111111,44.680851063829785,33.66496570402937,-29.279052531289675,-1.1551294899769102,0.9286821630861078,1920.4915996444643,38409.83199288929,-21716.43441156591,15.425531914893616,20.319148936170212,-33438.0,11721.565588434078,33.56209230675631
2/2,1.0,C,none,2006,55.72222222222222,39.33200398803589,27.016476552598224,-20.23151191454396,-1.6479312063808573,0.8657386254023374,4037.75,80755.0,-66115.0,41.27617148554337,34.695912263210374,-74220.0,8105.0,32.75
2/2,1.0,C,commission,2006,55.72222222222222,39.33200398803589,26.796476552598225,-20.45151191454396,-1.8679312063808569,0.8494517163670287,4458.609999999906,89172.19999999812,-74941.39999999998,41.27617148554337,34.695912263210374,-77863.19999999998,2921.800000000021,32.75
2/2,1.0,C,comm+1tick,2006,55.72222222222222,38.23529411764706,27.059335071707952,-20.584810330912028,-2.367931206380857,0.8137561959459829,5415.1099999999515,108302.19999999902,-95001.39999999998,41.27617148554337,34.695912263210374,-86143.19999999998,-8858.199999999979,32.75
2/2,1.0,C,comm+2.1pt,2006,55.72222222222222,34.54636091724826,28.279567099567107,-20.988126428027414,-3.9679312063808556,0.7111604465005967,8500.909999999823,170018.19999999646,-159193.39999999994,41.27617148554337,34.695912263210374,-112639.19999999998,-46554.19999999998,32.75
2/2,1.2,A,none,1357,37.69444444444444,44.43625644804716,31.92253523147397,-29.754350932105407,-2.347451627287158,0.8580110091279411,3764.5085688302497,75290.171376605,-63709.83716457347,35.07737656595431,0.0,-159661.1290833789,95951.29191880544,32.10085912732211
2/2,1.2,A,commission,1357,37.69444444444444,44.21518054532056,31.861342532450955,-29.855795743327942,-2.5674516272871575,0.8458450100761996,4052.488568830192,81049.77137660384,-69680.63716457345,35.07737656595431,0.0,-161755.5290833789,92074.89191880544,32.10085912732211
