======================================================================================================================
  BOUNDED RECONSTRUCTION — NOT A REPLICATION
======================================================================================================================
  true-tick sessions 36   20260701 .. 20260820   sealed days excluded, 2016-2020 unread
  grid: pivot L/R [2, 3, 5] x stop [0.5, 1.0, 1.2] x ATR14   TP fixed 1.2xATR14
  costs in points/round-turn: {'none': 0.0, 'commission': 0.22, 'comm+1tick': 0.72, 'comm+2.1pt': 2.32}
  Positions are flattened at each tape day's end (the archive is not
  contiguous across weekends and excluded days). Declared, not hidden.
  5-minute bars built from ticks: 9720   (270 a session)

======================================================================================================================
  CALIBRATION CHECK — Model A, no cost, against the supplied ledger
======================================================================================================================
  ledger: 28.6 trades/session · 57% win · 7.99 gross pts/trade · 20.4% reversal-affected

  pivot     stop  trades  per sess    win%  pts/trade    rev%   same%  TP dist
  2/2        0.5    1707      47.4    32.4      -0.77    20.3     0.0    32.27
  2/2        1.0    1428      39.7    42.0      -1.95    31.2     0.0    32.13
  2/2        1.2    1357      37.7    44.4      -2.35    35.1     0.0    32.10
  3/3        0.5    1352      37.6    31.9      -0.18    14.5     0.0    33.03
  3/3        1.0    1088      30.2    43.1      -0.86    23.9     0.0    32.68
  3/3        1.2    1029      28.6    45.5      -1.01    26.5     0.0    32.69
  5/5        0.5    1006      27.9    30.9      -0.60    10.9     0.0    31.13
  5/5        1.0     792      22.0    43.9      -0.52    18.1     0.0    31.46
  5/5        1.2     739      20.5    47.4      -0.69    21.1     0.0    31.43

======================================================================================================================
  MODEL A
======================================================================================================================
  pivot     stopcost              n   win%    avgW    avgL     exp     PF    maxDD$       P&L $   rev%  same%       $rev     $other
  2/2        0.5none           1707   32.4   32.47  -16.69  -0.766   0.93    48,387     -26,154   20.3    0.0    -89,783     63,629
  2/2        0.5commission     1707   32.3   32.37  -16.88  -0.986   0.91    51,889     -33,665   20.3    0.0    -91,310     57,645
  2/2        0.5comm+1tick     1707   32.0   32.10  -17.32  -1.486   0.87    60,908     -50,735   20.3    0.0    -94,780     44,045
  2/2        0.5comm+2.1pt     1707   31.5   31.02  -18.78  -3.086   0.76   113,420    -105,359   20.3    0.0   -105,884        525
  2/2        1.0none           1428   42.0   32.10  -26.63  -1.954   0.87    68,945     -55,805   31.2    0.0   -135,387     79,582
  2/2        1.0commission     1428   41.8   32.04  -26.76  -2.174   0.86    74,982     -62,088   31.2    0.0   -137,349     75,261
  2/2        1.0comm+1tick     1428   41.5   31.81  -27.10  -2.674   0.83    88,702     -76,368   31.2    0.0   -141,809     65,441
  2/2        1.0comm+2.1pt     1428   40.8   30.69  -28.40  -4.274   0.75   132,851    -122,064   31.2    0.0   -156,081     34,017
  2/2        1.2none           1357   44.4   31.92  -29.75  -2.347   0.86    75,290     -63,710   35.1    0.0   -159,661     95,951
  2/2        1.2commission     1357   44.2   31.86  -29.86  -2.567   0.85    81,050     -69,681   35.1    0.0   -161,756     92,075
  2/2        1.2comm+1tick     1357   43.8   31.63  -30.16  -3.067   0.82    94,140     -83,251   35.1    0.0   -166,516     83,265
  2/2        1.2comm+2.1pt     1357   43.2   30.50  -31.39  -4.667   0.74   136,028    -126,675   35.1    0.0   -181,748     55,073
  3/3        0.5none           1352   31.9   33.93  -16.14  -0.182   0.98    29,247      -4,919   14.5    0.0    -58,516     53,597
  3/3        0.5commission     1352   31.9   33.71  -16.36  -0.402   0.96    32,023     -10,868   14.5    0.0    -59,378     48,511
  3/3        0.5comm+1tick     1352   31.7   33.44  -16.81  -0.902   0.92    38,333     -24,388   14.5    0.0    -61,338     36,951
  3/3        0.5comm+2.1pt     1352   31.4   32.15  -18.33  -2.502   0.80    69,640     -67,652   14.5    0.0    -67,610        -41
  3/3        1.0none           1088   43.1   33.90  -27.20  -0.864   0.94    35,401     -18,801   23.9    0.0    -88,382     69,581
  3/3        1.0commission     1088   43.1   33.68  -27.42  -1.084   0.93    37,635     -23,588   23.9    0.0    -89,526     65,938
  3/3        1.0comm+1tick     1088   42.7   33.47  -27.75  -1.584   0.90    42,795     -34,468   23.9    0.0    -92,126     57,658
  3/3        1.0comm+2.1pt     1088   42.4   32.15  -29.16  -3.184   0.81    74,363     -69,284   23.9    0.0   -100,446     31,162
